StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,Q243_First Click,Q243_Last Click,Q243_Page Submit,Q243_Click Count,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,dv_willingness,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,general_familiarity,general_attitudes,gender,age,income,mTurkCode,inequality_des,inequality,thoughts ,thought_code
6/27/22 11:14,6/27/22 11:17,0,104.245.141.164,100,168,1,6/27/22 11:17,R_2WJekjMf7qQXpbZ,,,,,37.4418,-83.2976,anonymous,EN,0,0,7.24,0,0,0,27.674,0,12.31,66.469,80.794,5,0,0,11.865,0,3,9.26,9.26,10.02,1,4,4,1,34,3,6476408,high,1,The country has a very unequal level of wealth distribution. Most of the wealth is held by a small number of people while the rest have little to nothing. ,0
6/27/22 11:19,6/27/22 11:20,0,63.150.197.50,100,82,1,6/27/22 11:20,R_2aPMMZZlfCTP7iS,,,,,47.6298,-117.3989,anonymous,EN,1.347,8.963,11.487,7,1.207,3.886,16.307,3,6.1,6.1,14.681,1,4.329,6.2,15.676,2,1,5.795,5.795,7,1,3,1,1,34,4,151356,low,0,The economy is probably stagnant. ,1
6/27/22 11:17,6/27/22 11:20,0,76.183.88.151,100,220,1,6/27/22 11:20,R_3KPY5LEA6kCmCGL,,,,,32.7123,-96.7939,anonymous,EN,3.818,9.657,17.547,2,0,0,34.117,0,6.984,61.982,65.658,3,13.717,13.717,20.172,1,3,8.314,8.314,9.119,1,5,5,2,28,6,1640533,low,0,It is somewhat high level than most of the countries. ,1
6/27/22 11:19,6/27/22 11:21,0,97.81.54.216,100,119,1,6/27/22 11:21,R_9skrBGeeokRUxVv,,,,,36.3031,-88.3126,anonymous,EN,0,0,7.033,0,0,0,17.239,0,7.394,11.596,57.332,2,0,0,12.652,0,7,4.637,4.637,5.729,1,7,7,1,36,4,6702138,low,0,"I think it's really great that Bimboola is one of the most equal countries. In fact, there are only 4 more countries that are more equal in terms of economy.",0
6/27/22 11:19,6/27/22 11:21,0,24.155.213.216,100,98,1,6/27/22 11:21,R_wTyMgDgiG4AZ1xD,,,,,31.6599,-96.9867,anonymous,EN,0,0,10.667,0,0,0,28.257,0,3.341,3.341,19.31,1,0,0,11.22,0,7,6.909,6.909,7.675,1,7,7,2,49,7,8379811,low,0,I think it is impressive. I think it is surprising but good.  I like it.,1
6/27/22 11:19,6/27/22 11:21,0,172.113.41.11,100,112,1,6/27/22 11:21,R_9YqLyNWZ2aafwcN,,,,,34.0767,-118.1802,anonymous,EN,0,0,12.151,0,18.028,18.028,18.357,1,2.997,2.997,13.967,1,0,0,35.346,0,3,2.728,8.07,10.922,2,4,4,1,30,8,5245531,high,1,It is very top heavy. ,0
6/27/22 11:19,6/27/22 11:21,0,24.56.18.40,100,122,1,6/27/22 11:21,R_Cei98XGuQpLe3kZ,,,,,33.6613,-112.0398,anonymous,EN,0,0,7.907,0,0,0,26.8,0,0,0,45.537,0,0,0,14.591,0,7,9.222,9.222,9.869,1,7,7,1,38,8,7099729,high,1,The wealth is massively in the hands of the top.,0
6/27/22 11:19,6/27/22 11:21,0,73.77.233.219,100,168,1,6/27/22 11:21,R_AiJXu4xEaNDjacV,,,,,29.9762,-95.6401,anonymous,EN,13.593,13.593,15.005,1,0,0,39.436,0,3.58,3.58,32.073,1,0,0,31.203,0,3,18.921,18.921,19.828,1,5,6,1,46,10,1899989,high,1,It is a very poor country overall with the people in charge controlling most of the country.,0
6/27/22 11:20,6/27/22 11:21,0,173.81.79.215,100,114,1,6/27/22 11:21,R_Aps1hsgqhbiUMet,,,,,39.4251,-81.4613,anonymous,EN,0,0,23.49,0,0,0,19.358,0,2.504,2.504,24.93,1,0,0,14.941,0,6,6.448,6.448,7.84,1,4,5,1,31,5,2922901,low,0,Bimboola's economy seems to be a very equal country in terms of wealth.,0
6/27/22 11:19,6/27/22 11:22,0,99.1.33.116,100,129,1,6/27/22 11:22,R_2OYF43WqOIgVZIF,,,,,34.024,-84.2396,anonymous,EN,0,0,14.445,0,2.369,17.693,18.624,5,2.229,31.736,32.11,6,11.738,12.108,12.697,2,2,1.242,23.942,24.484,5,4,3,2,34,7,4465090,high,1,Bimboola's economy is very unequal. The rich are extremely rich and the poor are extremely poor. Does not seem to be much middle ground.,0
