StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,info_check_country,info_check_term,info_check_interest rate,info_check_payback,info_check_compensation ,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q40_First Click,Q40_Last Click,Q40_Page Submit,Q40_Click Count,open_summary,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,med_trust,med_trustworthy,dv_lending_amount,Q58_First Click,Q58_Last Click,Q58_Page Submit,Q58_Click Count,dv_willingness,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,check_1,check_2,check_3,general_familiarity,general_attitudes,econ,econ_inequality,gender,age,edu,income,social_class,ideology,affiliation,hispanic,ethinicity,mTurkCode,inequality_des,inequality
12/8/22 11:37,12/8/22 11:40,0,73.123.183.63,100,148,1,12/8/22 11:40,R_2vcOvPMDFbTFjYW,,,,,42.4609,-71.0074,anonymous,EN,6,1,2,1,2,28.838,40.63,41.882,5,0,0,12.979,0,the top third makes 53k the middle makes 43k and the bottom makes 33k,8.673,8.673,26.315,1,2,4,232,9.526,10.877,11.617,2,4,3.473,3.473,3.996,1,3,3,2,1,4,1,1,1,27,2,4,3,4,3,2,4,400841439,low,0
12/8/22 11:37,12/8/22 11:41,0,73.237.103.81,100,182,1,12/8/22 11:41,R_t01QMKb857sKv5v,,,,,34.2015,-84.4222,anonymous,EN,6,1,2,1,2,25.729,66.548,66.797,12,2.03,2.833,11.297,3,"The Bamboolian income distribution is set up into three groups which are the top third, the middle third and the bottom third. ",15.202,15.202,38.6,1,1,2,701,9.856,9.856,11.188,1,2,2.829,4.118,4.884,3,6,5,4,4,4,3,2,2,35,4,4,3,4,1,2,1,352315372,high,1
12/8/22 11:37,12/8/22 11:41,0,173.27.185.86,100,252,1,12/8/22 11:41,R_ensy3XL1hTW0nDP,,,,,30.4003,-87.0288,anonymous,EN,6,1,2,1,2,55.961,79.596,79.951,7,0,0,20.394,0,The top third makes about double the middle third and the bottom third makes about a fifth of the middle third.,15.102,53.193,68.36,2,4,4,0,6.602,6.602,11.313,1,3,11.872,12.24,12.522,2,7,7,6,5,4,2,2,1,33,5,11,3,2,1,2,1,903852510,high,1
12/8/22 11:37,12/8/22 11:42,0,98.144.31.102,100,285,1,12/8/22 11:42,R_5hCAE57dRmvhMXf,,,,,42.9896,-88.0876,anonymous,EN,6,1,2,1,2,56.315,85.562,86.04,8,0,0,33.996,0,"Income in Bimboola is fairly evenly distributed, with there being little difference between the top and bottom third of the population.",14.602,14.602,56.706,1,4,4,1500,13.775,17.637,18.213,2,4,3.397,4.135,4.585,2,5,4,3,2,4,2,3,1,37,3,5,1,2,1,2,4,400411710,low,0
12/8/22 11:38,12/8/22 11:42,0,75.173.93.13,100,225,1,12/8/22 11:42,R_3L59unh0SQx2ioI,,,,,30.695,-92.2697,anonymous,EN,6,1,2,1,2,1.257,67.096,67.414,21,1.976,27.997,28.103,3,The distribution is pretty uneven and those at the bottom are very poor compared to those at the top.,13.541,17.239,33.645,2,5,5,1014,0.441,14.07,14.59,5,4,3.512,4.002,4.501,3,7,7,7,5,5,3,3,1,34,2,8,3,5,3,2,1,335414987,high,1
12/8/22 11:38,12/8/22 11:42,0,147.160.12.81,100,215,1,12/8/22 11:42,R_3HXfCuJ9Tmb3d9c,,,,,40.6954,-87.4278,anonymous,EN,6,1,2,1,2,33.945,79.573,80.39,7,0,0,13.547,0,The income distribution is fairly even with bottom not making much less than the top.,13.6,13.6,36.864,1,5,5,503,5.817,8.243,11.337,2,5,4.242,4.242,5.05,1,5,3,3,1,4,1,2,1,33,2,3,2,5,3,2,1,245259472,low,0
12/8/22 11:38,12/8/22 11:42,0,98.46.110.254,100,229,1,12/8/22 11:42,R_DdhkWjPEOvss3Rv,,,,,41.9209,-87.7043,anonymous,EN,6,1,2,1,2,4.019,99.374,100.092,12,5.684,23.212,24.013,3,It is uneven among the thirds.,12.206,12.396,32.115,2,2,2,0,10.342,10.342,11.7,1,1,0,0,4.061,0,7,7,7,7,7,3,5,1,31,2,4,2,5,2,1,,501198656,low,0
12/8/22 11:40,12/8/22 11:42,0,67.243.225.232,100,155,1,12/8/22 11:42,R_2b2eaMUBbacbEgh,,,,,40.7683,-73.9802,anonymous,EN,6,1,2,1,2,15.695,31.951,32.797,11,0,0,12.194,0,The income distribution is uneven but not drastically so ,9.049,18.45,28.562,2,5,5,761,6.093,6.093,15.633,1,4,13.354,16.387,17.033,5,6,5,5,1,2,3,3,2,30,5,6,4,4,3,2,1,559708036,high,1
12/8/22 11:37,12/8/22 11:42,0,98.45.179.230,100,333,1,12/8/22 11:42,R_3pr8cb27AtRv8cR,,,,,37.3479,-122.0351,anonymous,EN,6,1,2,1,2,0.325,77.002,77.697,34,0.877,11.701,13.365,2,The top third of people are making a lot more money than the bottom third.,1.602,140.078,140.906,16,4,5,964,1.095,9.541,10.607,7,4,1.961,1.961,3.408,1,6,7,6,4,5,3,3,2,35,3,11,3,7,2,2,1,471070752,high,1
12/8/22 11:38,12/8/22 11:43,0,136.34.37.248,100,319,1,12/8/22 11:43,R_1gLyNprkMlmsfV7,,,,,39.1029,-94.5713,anonymous,EN,6,1,2,1,2,39.52,92.523,93.104,14,3.48,3.48,12.878,1,The distribution of income in Bimboola is very small and most people make around the same money regardless of which of the three social classes.,9.101,69.701,79.01,3,3,3,0,2.84,4.737,14.133,2,1,26.516,27.38,28.123,3,4,2,3,4,3,2,3,1,25,2,3,1,3,1,2,1,890999285,low,0
