StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q102_First Click,Q102_Last Click,Q102_Page Submit,Q102_Click Count,quiz_highIn.,quiz_lowIn.,quiz_lowF.,quiz_highF.,Q149_First Click,Q149_Last Click,Q149_Page Submit,Q149_Click Count,quiz_lowIn.2,quiz_highIn.2,quiz_lowF.2,quiz_highF.2,dv_host,dv_accept,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,med_trust,med_trustworthy,check_inequality,check_familiarity,host_exp,general_familiarity,general_attitudes,econ,econ_inequality,gender,age,edu,income,social_class,ideology,affiliation,hispanic,ethinicity,Q275,Q276,Q277,Q278,Q279,Q280,mTurkCode,inequality_des,inequality,familiarity_des,familiarity,wave
1/2/23 12:41,1/2/23 12:43,0,71.226.30.113,100,119,1,1/2/23 12:43,R_2Vs7hQoygcYy5q2,,,,,28.9274,-81.9819,anonymous,EN,23.324,23.324,24.176,1,0,0,11.227,0,2,,,2,,,,,,,,,7,7,4.135,5.783,6.499,2,5,5,7,6,2,3,5,3,3,1,36,2,5,1,3,1,2,1,1,,2,,2,,5998941,high,1,high,1,2
1/2/23 12:41,1/2/23 12:43,0,74.197.177.42,100,129,1,1/2/23 12:43,R_T6ljZoVZrSLSan7,,,,,36.3312,-92.3753,anonymous,EN,5.832,6.488,12.222,2,10.87,11.358,12.934,2,2,,,2,,,,,,,,,7,7,4.666,6.035,6.964,2,6,6,7,6,2,4,1,2,2,2,48,3,3,1,6,2,2,1,1,,2,,2,,9900064,high,1,high,1,2
1/2/23 12:41,1/2/23 12:43,0,67.85.210.52,100,106,1,1/2/23 12:43,R_2rj8hCFF5xCFoOk,,,,,40.6713,-73.8943,anonymous,EN,0,0,14.461,0,0,0,12.893,0,2,,,2,,,,,,,,,7,7,2.965,5.211,6.152,3,7,6,7,5,2,7,6,2,2,2,27,3,3,2,7,2,2,1,1,,2,,2,,1928718,high,1,high,1,2
1/2/23 12:41,1/2/23 12:43,0,207.38.161.22,100,119,1,1/2/23 12:43,R_2yg40QtJquQo6eB,,,,,40.7429,-73.9392,anonymous,EN,0,0,11.507,0,12.558,12.558,13.065,1,,8,1,,,,,,,,,,7,7,5.896,9.017,10.002,3,5,5,1,1,2,5,6,3,3,1,34,6,12,4,6,3,2,4,1,,2,,2,,2152369,low,0,low,0,2
1/2/23 12:41,1/2/23 12:44,0,72.128.206.141,100,144,1,1/2/23 12:44,R_2Vech3vx90FtNRR,,,,,42.6669,-88.263,anonymous,EN,0,0,12.78,0,0,0,10.704,0,,8,,2,,,,,,,,,7,7,3.524,5.466,6.204,3,7,7,1,7,2,5,7,1,2,2,32,5,7,3,1,1,2,1,1,,2,,2,,4115753,low,0,high,1,2
1/2/23 12:42,1/2/23 12:44,0,99.102.102.198,100,113,1,1/2/23 12:44,R_prPY9yVWFoGj6Sd,,,,,27.6006,-80.4359,anonymous,EN,0,0,13.724,0,0,0,11.019,0,,8,1,,,,,,,,,,7,7,2.579,3.689,6.481,2,6,6,6,1,2,7,6,2,3,1,39,2,4,1,6,2,2,1,1,,2,,2,,3744988,low,0,low,0,2
1/2/23 12:42,1/2/23 12:44,0,69.237.10.41,100,109,1,1/2/23 12:44,R_33eXMeCuiU0roNn,,,,,28.3943,-81.3615,anonymous,EN,0.495,21.736,22.552,16,3.141,20.068,20.277,3,2,,1,,,,,,,,,,4,4,0.211,5.23,5.645,6,4,4,7,1,2,4,4,1,1,1,35,3,2,3,7,2,2,1,1,n/a,2,n/a,2,n/a,8321467,high,1,low,0,2
1/2/23 12:41,1/2/23 12:44,0,136.52.122.131,100,156,1,1/2/23 12:44,R_3M0huhf08fPZTJu,,,,,33.6564,-117.8245,anonymous,EN,0,0,25.706,0,10.875,10.875,11.277,1,,8,1,,,,,,,,,,7,7,3.267,5.815,6.501,3,7,7,2,1,2,3,4,3,3,1,30,5,11,3,7,2,2,1,1,,2,,2,,6870415,low,0,low,0,2
1/2/23 12:41,1/2/23 12:44,0,173.81.156.235,100,137,1,1/2/23 12:44,R_vc2dd0qp8FfnNWp,,,,,35.5886,-77.1452,anonymous,EN,0,0,28.538,0,0,0,11.939,0,,8,,2,,,,,,,,,7,7,4.615,4.615,8.272,1,7,7,2,6,2,7,7,5,5,2,58,5,9,3,4,3,2,1,1,,2,,2,,4072407,low,0,high,1,2
1/2/23 12:41,1/2/23 12:44,0,45.51.0.125,100,160,1,1/2/23 12:44,R_sZK1P2k3Ycwv1yV,,,,,33.7873,-117.9231,anonymous,EN,0.491,45.373,49.437,62,0.41,10.766,11.65,32,,8,,2,,,,,,,,,7,7,0.349,7.636,8.012,13,7,6,1,7,2,4,3,3,3,1,35,5,8,3,7,2,1,,1,,2,,2,,2039733,low,0,high,1,2
1/2/23 12:41,1/2/23 12:44,0,47.184.98.112,100,170,1,1/2/23 12:44,R_3JyhRPHpMku3MLj,,,,,33.238,-97.1134,anonymous,EN,0,0,23.893,0,0,0,22.796,0,,8,1,,,,,,,,,,7,7,5.279,6.475,11.016,2,7,7,1,1,2,7,3,3,4,2,44,5,9,3,7,2,2,1,1,,2,,2,,3292694,low,0,low,0,2
1/2/23 12:41,1/2/23 12:44,0,76.18.94.108,100,157,1,1/2/23 12:44,R_10VGq6hWaMd5gfc,,,,,35.1518,-106.5789,anonymous,EN,0,0,19.903,0,0,0,11.675,0,2,,,2,,,,,,,,,7,6,7.01,9.737,10.603,3,5,5,6,4,2,5,5,3,4,2,46,2,5,3,3,1,1,,1,,2,,2,,1097521,high,1,high,1,2
