LAUS,state,county,County Name/State Abbreviation,Year,force,employed,unemployed,unemployment
CN0100100000000,1,1,"Autauga County, AL",2010,25749,23481,2268,8.8
CN0100300000000,1,3,"Baldwin County, AL",2010,83551,75283,8268,9.9
CN0100500000000,1,5,"Barbour County, AL",2010,10219,8978,1241,12.1
CN0100700000000,1,7,"Bibb County, AL",2010,8936,7931,1005,11.2
CN0100900000000,1,9,"Blount County, AL",2010,24928,22509,2419,9.7
CN0101100000000,1,11,"Bullock County, AL",2010,4941,4365,576,11.7
CN0101300000000,1,13,"Butler County, AL",2010,9252,8015,1237,13.4
CN0101500000000,1,15,"Calhoun County, AL",2010,51577,45798,5779,11.2
CN0101700000000,1,17,"Chambers County, AL",2010,14734,12581,2153,14.6
CN0101900000000,1,19,"Cherokee County, AL",2010,11466,10267,1199,10.5
CN0102100000000,1,21,"Chilton County, AL",2010,19474,17502,1972,10.1
CN0102300000000,1,23,"Choctaw County, AL",2010,4857,4225,632,13
CN0102500000000,1,25,"Clarke County, AL",2010,9088,7316,1772,19.5
CN0102700000000,1,27,"Clay County, AL",2010,5844,5016,828,14.2
CN0102900000000,1,29,"Cleburne County, AL",2010,6035,5441,594,9.8
CN0103100000000,1,31,"Coffee County, AL",2010,21099,19313,1786,8.5
CN0103300000000,1,33,"Colbert County, AL",2010,24229,21499,2730,11.3
CN0103500000000,1,35,"Conecuh County, AL",2010,4982,4140,842,16.9
CN0103700000000,1,37,"Coosa County, AL",2010,4648,3946,702,15.1
CN0103900000000,1,39,"Covington County, AL",2010,16428,14753,1675,10.2
CN0104100000000,1,41,"Crenshaw County, AL",2010,6290,5658,632,10
CN0104300000000,1,43,"Cullman County, AL",2010,35983,32272,3711,10.3
CN0104500000000,1,45,"Dale County, AL",2010,22099,20167,1932,8.7
CN0104700000000,1,47,"Dallas County, AL",2010,17782,14839,2943,16.6
CN0104900000000,1,49,"DeKalb County, AL",2010,30918,27084,3834,12.4
CN0105100000000,1,51,"Elmore County, AL",2010,36732,33435,3297,9
CN0105300000000,1,53,"Escambia County, AL",2010,15000,13266,1734,11.6
CN0105500000000,1,55,"Etowah County, AL",2010,44018,39278,4740,10.8
CN0105700000000,1,57,"Fayette County, AL",2010,6827,5955,872,12.8
CN0105900000000,1,59,"Franklin County, AL",2010,14252,12752,1500,10.5
CN0106100000000,1,61,"Geneva County, AL",2010,11564,10385,1179,10.2
CN0106300000000,1,63,"Greene County, AL",2010,3302,2741,561,17
CN0106500000000,1,65,"Hale County, AL",2010,6439,5485,954,14.8
CN0106700000000,1,67,"Henry County, AL",2010,7265,6483,782,10.8
CN0106900000000,1,69,"Houston County, AL",2010,46463,42261,4202,9
CN0107100000000,1,71,"Jackson County, AL",2010,24347,21514,2833,11.6
CN0107300000000,1,73,"Jefferson County, AL",2010,318651,286248,32403,10.2
CN0107500000000,1,75,"Lamar County, AL",2010,5797,5046,751,13
CN0107700000000,1,77,"Lauderdale County, AL",2010,43622,39278,4344,10
CN0107900000000,1,79,"Lawrence County, AL",2010,14892,13052,1840,12.4
CN0108100000000,1,81,"Lee County, AL",2010,66841,60891,5950,8.9
CN0108300000000,1,83,"Limestone County, AL",2010,38356,34700,3656,9.5
CN0108500000000,1,85,"Lowndes County, AL",2010,4342,3555,787,18.1
CN0108700000000,1,87,"Macon County, AL",2010,8928,7635,1293,14.5
CN0108900000000,1,89,"Madison County, AL",2010,169944,155994,13950,8.2
CN0109100000000,1,91,"Marengo County, AL",2010,8130,7036,1094,13.5
CN0109300000000,1,93,"Marion County, AL",2010,13203,11448,1755,13.3
CN0109500000000,1,95,"Marshall County, AL",2010,41688,37721,3967,9.5
CN0109700000000,1,97,"Mobile County, AL",2010,192800,171314,21486,11.1
CN0109900000000,1,99,"Monroe County, AL",2010,8694,7147,1547,17.8
CN0110100000000,1,101,"Montgomery County, AL",2010,108868,98105,10763,9.9
CN0110300000000,1,103,"Morgan County, AL",2010,57844,51711,6133,10.6
CN0110500000000,1,105,"Perry County, AL",2010,3885,3243,642,16.5
CN0110700000000,1,107,"Pickens County, AL",2010,7696,6701,995,12.9
CN0110900000000,1,109,"Pike County, AL",2010,15698,14229,1469,9.4
CN0111100000000,1,111,"Randolph County, AL",2010,9701,8428,1273,13.1
