StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Perception check ,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,GINI_0.2_1,GINI_0.2_2,GINI_0.2_3,GINI_0.3_1,GINI_0.3_2,GINI_0.3_3,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,GINI_0.4_1,GINI_0.4_2,GINI_0.4_3,GINI_0.5_1,GINI_0.5_2,GINI_0.5_3,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,GINI_0.6_1,GINI_0.6_2,GINI_0.6_3,GINI_0.7_1,GINI_0.7_2,GINI_0.7_3,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Perception check,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,GINI_0.2_1,GINI_0.2_2,GINI_0.2_3,GINI_0.3_1,GINI_0.3_2,GINI_0.3_3,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,GINI_0.4_1,GINI_0.4_2,GINI_0.4_3,GINI_0.5_1,GINI_0.5_2,GINI_0.5_3,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,GINI_0.6_1,GINI_0.6_2,GINI_0.6_3,GINI_0.7_1,GINI_0.7_2,GINI_0.7_3,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,ideology,education,income,religion,gender,age,hispanic,ethnicity,condition,opp,gc,term,rid,RISN,V,LS,cintid,ProjectToken,transaction_id,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,Q_TotalDuration
12/3/21 9:54,12/3/21 10:02,0,99.104.137.178,100,425,1,12/3/21 10:02,R_1PYsCRbHFSDpod1,,,,,29.55540466,-81.22070313,anonymous,EN,3,0,0,28.835,0,30,35,35,30,35,35,69.322,127.258,131.878,8,30,35,35,30,35,35,8.036,38.108,42.917,7,30,35,35,30,35,35,4.87,53.494,58.971,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,2,2,77,2,1,country,Qual6008-0510-GenPop,1,,61aa4c11-2284-f98d-8146-6f82a3938d1f,,H,{Invalid Expression},,,,,,,,,anonymous,425
12/3/21 9:59,12/3/21 10:03,0,73.236.86.50,100,272,1,12/3/21 10:03,R_2YqT3XqUw56nXSD,,,,,40.5565033,-79.57720184,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,11.592,0,20,70,10,20,50,30,10.921,67.171,96.925,10,60,30,10,40,20,40,4.487,23.16,27.327,6,40,20,40,40,30,30,2.186,43.17,51.586,8,4,2,3,7,2,71,2,3,time,Qual6008-0510-GenPop,1,,61aa4d0c-49d6-d7f8-7677-be1bb12f48b7,,H,{Invalid Expression},,,,,,,,,anonymous,272
12/3/21 10:38,12/3/21 10:45,0,216.195.47.224,100,382,1,12/3/21 10:45,R_Pv7xWGrFiYzXOo1,,,,,35.11920166,-97.64009857,anonymous,EN,3,5.426,11.784,21.394,2,15,25,60,15,25,60,3.71,42.423,48.484,6,15,25,60,15,25,60,5.916,21.766,31.701,3,15,25,60,15,25,60,6.682,36.761,39.168,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,10,2,1,50,2,1,country,Qual6008-0510-GenPop,1,,,,,,813bf521-5563-2344-d284-c210603167cb,,,,,,,,anonymous,382
12/3/21 10:46,12/3/21 10:50,0,96.42.37.250,100,256,1,12/3/21 10:50,R_1Ld7OQgpfNgHb7S,,,,,42.68190002,-89.12809753,anonymous,EN,3,0,0,19.044,0,40,40,20,30,30,40,28.604,66.994,71.348,9,15,15,70,10,10,80,9.36,27.035,30.731,6,10,10,80,5,15,80,3.323,41.077,44.892,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,1,2,66,2,1,country,Qual6008-0510-GenPop,1,,,,,,0f25ede5-9ddf-b087-cb40-da0ee1022715,,,,,,,,anonymous,256
12/3/21 11:07,12/3/21 11:11,0,134.228.235.82,100,268,1,12/3/21 11:11,R_emNPa1BiD1A82UV,,,,,41.70300293,-83.57099915,anonymous,EN,3,0,0,23.824,0,5,0,95,10,0,90,54.374,73.624,86.288,4,10,5,85,15,10,75,4.701,32.546,36.667,6,5,55,40,5,70,25,5.006,31.435,34.286,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,2,1,76,2,1,country,Qual6008-0510-GenPop,1,,,,,,574dff6d-c972-2704-a2c8-c866ae367986,,,,,,,,anonymous,268
12/3/21 11:18,12/3/21 11:26,0,23.128.32.101,100,494,1,12/3/21 11:26,R_28OJNlundN8ZTQn,,,,,35.0776062,-106.1872025,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,78.212,0,50,25,25,20,40,40,98.814,172.652,176,6,20,40,40,25,50,25,18.225,48.097,51.745,7,10,60,30,10,70,20,6.493,39.334,42.338,6,1,5,3,1,2,69,2,1,time,Qual6008-0510-GenPop,1,,,,,,a04b09e7-5cb1-227b-a742-3e604e65f009,,,,,,,,anonymous,494
12/3/21 11:26,12/3/21 11:32,0,108.20.156.234,100,330,1,12/3/21 11:32,R_3HSRDVVdB128KQJ,,,,,42.4178009,-71.11340332,anonymous,EN,3,19.857,40.61,41.726,3,20,20,60,10,30,60,18.126,107.014,110.583,11,10,40,50,20,50,30,3.402,47.54,51.461,11,10,60,30,5,70,25,3.009,29.333,32.32,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,2,2,76,2,1,country,Qual6008-0510-GenPop,1,,,,,,49483683-a235-edf5-a426-01634b649e77,,,,,,,,anonymous,330
12/3/21 11:32,12/3/21 11:38,0,184.88.207.26,100,371,1,12/3/21 11:38,R_2Yb5lJm3VFAwm47,,,,,29.28660583,-81.0868988,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.324,5.25,16.589,2,5,30,65,5,30,65,4.095,85.848,94.766,13,5,20,75,5,20,75,4.601,51.081,55.055,12,7,18,75,7,18,75,2.107,45.28,51.899,7,6,2,7,2,1,70,2,1,time,Qual6008-0510-GenPop,1,,,,,,8733b573-0d0a-2d1f-dfd6-82186792b286,,,,,,,,anonymous,371
12/3/21 11:36,12/3/21 11:47,0,76.125.60.106,100,605,1,12/3/21 11:47,R_12F3Jl9INv0t7Ik,,,,,38.12280273,-121.254303,anonymous,EN,3,0,0,27.079,0,80,20,0,30,0,70,14.051,158.794,159.883,10,10,20,70,5,0,95,12.288,138.736,149.974,9,5,6,89,30,35,35,9.774,166.566,174.037,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,1,1,66,2,1,country,Qual6008-0510-GenPop,1,,,,,,d62b3601-8895-7c89-c6a4-0100545445fb,,,,,,,,anonymous,605
12/3/21 10:42,12/3/21 11:53,0,208.53.106.7,100,4238,1,12/3/21 11:53,R_1N859P9Vg9rI1NF,,,,,47.42970276,-122.930603,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,41.66,0,10,10,80,15,15,70,86.941,117.086,119.808,6,30,30,40,25,25,50,11.249,39.48,45.942,9,30,30,40,35,35,30,10.395,30.91,32.653,6,4,3,9,9,2,58,2,1,time,Qual6008-0510-GenPop,1,,,,,,f3a78af9-854f-3722-4e5c-bd8cd4b14f13,,,,,,,,anonymous,4238
