,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,check1,check2,check3,check4,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,gender,age,hispanic,ethinicity,social class,income,occupation,ideology,affiliation,Q275,Q276,Q277,Q278,Q279,Q280,mTurkCode,idid,ResponseID,dscore,Default
0,11/17/22 12:17,11/17/22 12:20,0,100,172,1,11/17/22 12:20,R_2YnchknwY8fcAuW,anonymous,EN,0.0,0.0,11.229,0,1,2,1,"1,2",,,,,,,,,,,,,,,"15C1295,19C75,14C43,14X108,21C20,18C99,18X99,13X171,17X82,19C42,16C50,20C12,22X115,21C83,15C12,20C11,22X90,17C2,16X82,13X99,END","5X416,3X84,5X115,4X91,6X123,12C2,10X98,7X91,12X132,8X114,11X155,9X124,2C82,11C10,3C82,2X123,1X114,9C35,8X164,6C44,END","4C483,15X178,8C91,21X203,7X147,18X161,6C34,17X140,5X146,13X129,12C42,14C35,1X131,16X156,3X131,19C50,10X137,20X155,9X139,22X145,END","11C303,19X90,8X185,14C51,1X138,13X146,5X179,21C42,9X147,13C90,4X145,22C26,8X186,20X154,10X155,17C51,3X355,22C83,3C49,14X179,6X155,16X202,2X187,18C51,10X177,17C89,5X185,15C165,7C42,16C75,6X170,18C50,12X154,21X146,4C58,20C75,7X138,15C90,9C66,19X195,END","15X448,16X218,16X170,19C98,21X209,18X161,14C59,21C82,13C91,19C42,16C58,20C72,18X179,14C17,21C81,18X186,20X195,19X186,14C27,14C130,22C27,17C138,22C59,22X194,15C82,19C17,13C83,13X169,21C2,20X178,18X114,17C105,16X186,22C25,17C91,20C26,15C59,15C10,13X177,17C121,END","4C296,15C56,10X202,20C91,1X147,16C122,7X195,19C43,6X211,18X161,2X177,17C72,12C26,22C10,8C93,14X161,3X105,21X211,11C57,13X178,END","6C352,22X202,5X251,16C90,7X172,22C106,11C41,18C64,3X137,18X186,3X196,20X187,8C66,21C65,5X169,14C73,7X177,15X179,4C50,15C58,12X178,16X201,1C65,17C73,2C41,14C40,11X177,13X162,6C50,13C82,10X186,19C74,1X153,21X152,9C57,20C65,12C49,19C83,9C73,17X161,END",,,,,,,,Female,30,0,1.0,3,"40,000 - 49,999",Supervisor,Liberal,Democratic,1.0,,2,,2,,48736228,1,R_2YnchknwY8fcAuW,,0
1,11/17/22 12:16,11/17/22 12:20,0,100,203,1,11/17/22 12:20,R_2qrCD9o2sk9s7pY,anonymous,EN,0.0,0.0,15.555,0,1,2,1,"1,2",,,,,,,,"16C2151,22C143,13C86,20X215,19X183,21C126,13C151,21X272,14C72,20X584,17C110,15X184,18X263,16C71,15X199,22C102,14C70,17X199,18C31,19X183,END","7C916,6X191,12C62,3C134,1X78,6X158,10C111,1C15,7C86,9X142,4C30,5X158,2X158,12X209,2C103,3X199,11C111,9X158,8X142,11X142,END","1C863,14C15,7X214,19C54,11C79,20C96,5X231,18C54,2X176,16C22,6X286,22X326,9X47,15C134,4C79,21C168,8X166,17C125,12X166,13X141,END","2C279,14C22,12X181,15C168,8X167,21X270,7C71,15X142,6C6,22C13,6X189,18X206,12C14,14X166,10C174,13X182,9X173,20C86,11C158,13C150,3C63,17C70,1C120,20X237,7C94,21C118,1X191,19X229,3X229,17C149,5C78,16C5,4X215,16C67,4C181,22C13,9C133,19C94,11C29,18X189,END","18C440,15C109,13X247,21X213,13C7,22C153,16C85,21X85,18X190,19X165,21X206,20C189,13C54,17C29,17C21,20C53,18X239,15C165,15X229,22C21,14X245,15C22,16C29,19C119,14X157,14C21,22C72,19C5,20X246,20C30,19C22,16X205,22X117,16C192,14C4,13X254,17C5,18C101,21X221,17X222,END","9X328,14C204,1X77,13C46,5C29,20X77,7X213,16C204,11X45,15X229,4C15,19X38,10X213,22X221,3C221,21X205,12X229,18X212,2X206,17C69,END","3X1639,13X324,4C29,14X248,1X237,20X92,11C4,15C149,5X260,22C76,6X164,16C4,3C13,18C68,8C6,20X229,5C156,14C4,8X76,19C220,6X172,16X246,7X76,15C213,7X36,21X196,10X229,17X304,2C54,19X69,9C204,22X229,12X205,21X214,2C196,13X37,12X197,18X229,11X245,17C132,END",,,,,,,,,,,,,,,Female,48,0,1.0,3,"50,000 - 59,999",MANAGER,Liberal,Democratic,1.0,,2,,2,,29778413,2,R_2qrCD9o2sk9s7pY,,0
2,11/17/22 12:16,11/17/22 12:20,0,100,207,1,11/17/22 12:20,R_2t3C0uJW8zlG853,anonymous,EN,0.0,0.0,14.89,0,1,2,1,"1,2",,,,,,,,,,,,,,,"21X4023,17C1573,16C1083,22C1149,14C1421,20C1284,14C1045,15C1332,21C1139,13C1555,19C1183,19C1252,13C1404,15C1078,20C1099,22C1221,18X2188,17C1612,16X108,18C76,END","10X839,5C133,11C124,2X173,7C83,12X148,12X147,6C13,6X165,11C53,4C35,9C45,1C115,7X182,4C171,3C172,5C148,8X165,8C155,3X189,END","3X279,15X189,12C83,16C69,4X181,20C163,5C29,18C75,6C101,14C188,9C172,13X197,10C117,21X180,11X174,17C74,2X157,19C45,8X196,22X189,END","2X336,15X213,11C101,22C181,6C35,20C125,7X181,15X196,2C6,17X214,11C93,16C141,10C12,20C188,9X221,13X389,12C20,14C100,3C4,19C198,1X203,21C157,7C180,19X165,6C45,16X212,4X190,18C154,8X165,14C27,5X172,17C5,10C44,13C173,3C3,21C133,12X179,22X213,1X44,18X164,END","17C248,19C28,22X277,19X60,18X187,20X213,13X52,14X206,16C181,15X235,18C13,14C158,20C68,20X229,18X229,15C4,20X221,13X179,17X190,22C99,21X253,17C69,15X181,17C196,19C28,14C173,16X197,22C117,21C5,18C22,14C230,16X172,19C67,21X269,13X187,16X196,22C182,15X188,21C100,13C76,END","12C280,16X181,7X187,20C4,4X222,18C10,9C13,17C188,6C110,15C36,5X213,14C156,1C20,21X173,10C116,13X188,11X189,19C45,3X148,22X219,END","2X1087,19X188,10C123,20C45,8C124,20C86,3C12,21C6,6X237,16X172,4C158,15X12,11X204,14C21,2X76,13X252,5C12,14C222,3X251,22X213,9C3,15C149,8X164,18C44,5X187,18C165,10C117,21C77,11C60,17X237,1C36,19C11,9C108,16X205,7X195,13X205,1C3,22X228,12X134,17X213,END",,,,,,,,Male,38,0,1.0,3,"50,000 - 59,999",manager,Liberal,Democratic,1.0,,2,,2,,35111103,3,R_2t3C0uJW8zlG853,,0
3,11/17/22 12:16,11/17/22 12:20,0,100,265,1,11/17/22 12:20,R_1QGhxaUx0JfEM58,anonymous,EN,0.0,0.0,12.327,0,1,2,1,"1,2",,,,,,,,"15C553,19X27,15C29,19X125,21C53,20C70,14X84,13X61,20C46,16C51,17X60,21C77,22X92,22X78,13X83,18X85,14C52,18X108,17C47,16C83,END","6X247,7C12,1C61,10C108,3X149,2X76,4X94,6C74,8X77,9C67,7X83,9X100,1C79,11X107,4C84,2X117,8X91,12X93,5X100,11C99,END","11C159,17X69,9C84,15C100,7X140,22X140,4X142,19C108,3C108,13X110,8C122,16C117,1C156,21X140,10C115,18C109,6X140,20X108,5C134,14X164,END","11C255,19C125,11C132,14C133,10C131,22C4,6X179,13C57,7C112,22C54,10C75,17C117,6X196,19C156,9C4,20X517,8C132,21C54,2C26,16C60,3X835,18X205,12X157,20X164,1X173,21X178,2X116,15C93,3X213,16C132,4X156,13C109,9X157,14X107,5X171,15C156,12C172,17X189,4C12,18X213,END","16X463,19C5,13C131,15C149,14C156,22C156,20X188,22C1213,21C867,14C51,15X115,22C4,14C54,14X83,19C3716,18C972,13X357,20C164,20X188,22X172,21C195,17X1422,20C180,19X11517,16C84,18X116,15X378,21C94,18C13,18C182,16C93,17X140,21X107,13X77,13X172,17X125,15X462,19C92,17X37,16C13,END","9C184,21X68,2X188,18C124,8X140,15C20,5X181,14C173,1X244,20X180,6C84,16X524,7X326,17C187,10X190,19C188,12C146,22C149,4X204,13X187,END","12C208,16X101,8X125,17X132,1X124,21X276,1X133,15X156,9C133,14X156,10C133,21C123,7X140,15X300,7C124,17X171,6X157,19C116,5X150,22C130,3X182,14X123,3X108,19C76,11C109,18C69,9X318,22X139,10C123,18C141,4X334,13C204,5C21,13X236,2X244,20C93,8X187,16X156,4X212,20X100,END",,,,,,,,,,,,,,,Male,35,0,1.0,2,"60,000 - 69,999",HEALTH CARE,Liberal,Democratic,1.0,,2,,2,,63637426,4,R_1QGhxaUx0JfEM58,,0
4,11/17/22 12:17,11/17/22 12:21,0,100,209,1,11/17/22 12:21,R_12D8CRhTJK3noIm,anonymous,EN,0.0,0.0,19.099,0,1,2,1,"1,2",,,,,,,,,,,,,,,"13X567,14X263,21C245,22X92,17X133,16C93,13C14,14C69,20C29,21C68,15X101,18X132,16X284,20C9,15X175,18C69,19X189,22X139,19C155,17X164,END","2C144,9X131,10C187,1C84,8X132,9C124,6X251,1C68,12C83,12X155,11C179,5C141,2C52,7X171,3X434,4C75,3C51,4X98,11C179,10X148,END","12X184,20X129,1X499,22C11,5C107,14X65,3C11,16C34,7C50,17X139,2X26,13C35,10X130,18X90,6C9,21X121,9C145,19C162,11C203,15X178,END","7C183,18X130,10C114,15X122,5C34,14X265,6X257,22X145,12C81,21X114,4C194,17C49,5C2,19C8,6C48,22X208,3C24,20C232,8C4176,20C128,10C79,21C128,11C104,19C121,1X144,16X249,2X24,17C7,8C80,18X351,1X167,13X242,9X80,16C1,12C1,15X256,2C23,14C7,9X55,13X247,END","22X681,22X239,16C38,16X190,20C198,19C31,13X191,18X127,14X55,16C118,14C86,14X126,13C158,13X191,15X151,14C182,21X629,21X46,22X511,21X62,20C87,15C7,18C161,19C93,13C22,17X206,17X221,20X902,19C29,18C60,17X232,15C197,16X205,19C5,15X214,22X238,20C93,17X189,21C21,18C109,END","1X503,14C37,12X204,19X348,5X53,21C93,11X135,20X156,8X172,13C147,3C52,22C13,6X84,18C84,9X196,16C132,4X213,15C68,10C52,17C36,END","9C1072,22C91,9X99,13C36,6X124,20X84,2C58,15C3,10X147,15X155,4X300,19X67,8X163,21X234,3C34,22C82,4C50,16X98,1C2,18C43,1X51,14X179,7C171,18C58,7X74,16X154,3X194,13X146,10C163,19C131,11C27,21C138,5X90,14X98,11C114,17C123,6C187,20C34,12C58,17X234,END",,,,,,,,Male,35,0,1.0,1,"60,000 - 69,999",healthcare,Liberal,Democratic,1.0,,2,,2,,50036788,5,R_12D8CRhTJK3noIm,,0
5,11/17/22 12:17,11/17/22 12:21,0,100,233,1,11/17/22 12:21,R_NVy9mzwAtoprHAB,anonymous,EN,0.0,0.0,14.396,0,1,2,1,"1,2","13C815,14X207,19C81,22X133,18X190,17C6,20C128,13C30,17X158,21C110,21X172,20X220,15C49,15X228,18C152,14C55,16X185,22C97,19X235,16C77,END","1C690,3X203,8X169,8X213,12X217,4C66,1X211,9C142,10X234,7X226,11X205,2C74,4X225,6X205,5X237,12C150,11C2,9X221,6C80,5X245,END","7X612,15X118,3C24,19C169,5C71,17X253,11X200,14X164,12X169,13X85,6C11,21X172,9C8,16X153,4C10,22X163,1X121,18X175,10C49,20X245,END","8C1020,15X81,7C154,20X230,3C19,22C166,12X217,18C2,2X116,22X192,12C27,21C15,7X212,21X246,10C1,14C20,11X215,16C68,9X168,17X92,4X235,15X233,6X251,19C175,5C45,18X179,1X79,14X229,3X204,20C2599,2C65,16X230,10C160,17C43,6X241,13X213,1X250,13X221,8C125,19X224,END","15C787,16X242,22X81,13C162,19C67,14X150,22X105,17C156,14C3,21X66,14C163,13C0,21X86,16C170,18C100,17C161,17C19,16C7,20C51,19C27,17C151,16C30,21X94,15X191,22C79,13C165,19X121,20C26,14X205,18X88,15X191,22X115,19C49,15X211,21X131,18C2,20C15,18C21,13X170,20X107,END","1C979,17X191,9X219,16C1,4C38,13C152,10C13,18C32,11C163,14X244,7C2,20X111,12C155,19C60,2X244,15C148,3X75,21X244,6X235,22X227,END","12C1733,20X57,12X229,17X219,1X4047,15C152,10C12,14X243,5C73,17C135,8X201,18C68,4X194,13C122,9X147,15X164,9X202,14X200,3C76,19X196,7C92,22C68,1X178,21X186,2X179,13C122,3C74,19X179,5X208,16C113,6C78,20X213,2X212,16C125,11X212,22C60,8X186,18C57,11C133,21C77,END",,,,,,,,,,,,,,,,,,,,,,Male,41,0,1.0,2,"50,000 - 59,999",Manager,Liberal,Democratic,1.0,,2,,2,,25206649,6,R_NVy9mzwAtoprHAB,,0
9,11/17/22 12:16,11/17/22 12:22,0,100,327,1,11/17/22 12:22,R_z2VkOxCSFKIYw6J,anonymous,EN,11.354,12.859,13.865,3,1,2,1,"1,2","21C1318,14C470,19C1741,20C1538,18C112,15X155,22C81,17C67,15C54,13X69,14C66,13C61,21C48,19X126,16C5,17C31,18X179,16X170,20C24,22X160,END","3C198,10C38,7X154,2C19,9C44,5C77,9C4,1C140,4C113,6X61,2C93,12C48,10X202,12X168,11X152,5X158,1C119,8X181,4C100,7X207,END","1X374,18X145,12X157,13C89,8C15,19X148,10X195,14C82,11C89,17X10,6C80,16X78,3C78,15C70,9C5,20X238,4C15,21X169,2C109,22C94,END","4X256,17C79,12C20,16C55,7C32,20X158,10X211,16C12,7X228,20X214,9C12,22X178,3X19,18X218,10C32,14C203,6X161,19C122,8X308,17C86,9C69,22X238,2C52,19X212,6X109,21X153,3C158,13X93,5C103,15C95,11C69,13X146,2C85,15X94,4C94,14C100,8X124,18X328,1X41,21C7,END","22C312,22X129,17X200,20C133,19X92,17X221,22X48,20C90,18C86,13C18,18X40,19X98,13X163,18X64,14X155,19X87,17X175,16X261,20X171,19C98,16C36,21C17,15C67,14C133,16X145,22C55,13C3,18X14,15X121,21C95,14C34,17C141,21C103,15C32,16X191,20C79,15C92,14X135,13X137,21C117,END","4C710,19C100,10X177,15X229,5C129,14X202,6C90,20X120,12X289,13C148,2C136,22X121,7C67,16C127,3X132,17X189,9X127,21C110,8X195,18C82,END","8X483,18X147,10X155,20C35,12C67,14X194,6C76,22X105,2C113,16C75,7X195,19C141,6X480,14C24,1C163,22X78,11X176,17X239,5X63,18C126,3X153,21X133,2C100,13C112,9X219,21C82,4X135,13X210,4C84,19C137,1X162,20X113,9X258,15C12,11X215,15X223,7X197,16X214,8X234,17C16,END",,,,,,,,,,,,,,,,,,,,,,Male,36,0,1.0,1,"60,000 - 69,999",MANAGER,Liberal,Democratic,1.0,,2,,2,,49076278,10,R_z2VkOxCSFKIYw6J,,0
10,11/17/22 12:15,11/17/22 12:22,0,100,402,1,11/17/22 12:22,R_2duakrBrTIhbKyq,anonymous,EN,2.23,8.222,19.573,3,1,2,1,"1,2",,,,,,,,,,,,,,,"22C938,16C625,13C706,19C571,17C642,20C613,14C615,20C608,15C773,18C728,16C526,21C544,17C611,13C614,21C612,14C629,19C576,15C687,18C710,22X1004,END","10C997,1C700,11C619,5C608,6C670,5C693,6C640,1C652,4C710,2C667,9C580,7C591,10C601,7C611,8C576,12C667,3X1247,2C533,12C826,8C679,END","3C1126,18C845,5C836,22C645,1C708,20C676,4C841,19C655,9C809,16C586,12C658,14C627,10X1001,17C697,11C787,21C614,8C687,15C712,6C616,13C627,END","7C837,14C601,1C562,16C578,6C630,19C603,11C685,18X1005,9C668,20C709,5C660,18C566,3C541,17C593,12C850,15C676,12C670,16C618,1C677,13C630,2C626,22C595,6C629,21C613,2C704,19C668,8C737,14C596,9C619,15C589,7C825,17C638,3C863,13C656,10C599,20C683,11C751,22C639,4C651,21C728,END","22C594,21C599,21C553,16C516,22C582,13C672,18C530,19C644,15C604,15C557,18C561,17C603,20C594,15C571,13X1149,20C861,14C709,13C725,19X674,21C699,20C584,17C560,19C572,17C524,17C609,18C623,16C627,22C598,14C702,14C557,15X930,21C746,13C716,16X966,22C861,16C612,20C574,19C664,18C738,14C618,END","2C872,13C763,1C621,20C532,4C585,14X1022,9C856,18C863,11C807,22C641,10C899,21C612,6X1338,16C879,3C978,19C616,8C751,15C695,7C734,17C625,END","7C1007,21C630,3X966,17C606,6C829,16C778,7C694,22C634,8C760,18C622,5C708,21C765,5X1094,16C673,1C838,22C557,6C838,19C610,11C613,19X913,8C1387,15C1064,1C742,15C885,4C1008,14C908,9X997,17C801,12X1178,13C1037,2C749,14C732,12X1123,20C730,10C1805,18C955,11X1766,13C764,4C1320,20C817,END",,,,,,,,Female,38,0,1.0,3,"70,000 - 79,999",banking,Conservative,Democratic,1.0,,2,,2,,13380521,11,R_2duakrBrTIhbKyq,0.616048803,1
11,11/17/22 12:16,11/17/22 12:22,0,100,358,1,11/17/22 12:22,R_1LhFip5e3GQQLfF,anonymous,EN,0.0,0.0,16.269,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"17C1028,20C823,21C762,18C885,21C647,20C603,22C653,18C698,15C884,19C682,15C768,13C905,14C886,19C662,16C932,16C619,17C654,22X1362,14C1061,13C857,END","6X1821,5C1248,5C739,1C1010,9C725,3X1398,1C846,4C1748,2C983,11C1023,9C900,8C785,11C793,10C701,2C885,12C1070,3X1276,7C1404,12C959,7C1050,END","8C1389,19C817,10C1139,13C702,12C891,16C810,5C944,21C640,1C911,20C842,11C1020,18C762,7C1327,14C669,4C1145,22C685,3X1359,17C864,6C892,15C999,END","1C955,18C829,12C1075,14C651,9C1017,21C772,7C1093,17C686,9C892,17C996,4C1425,16C860,3C1381,22C783,2C981,15C906,7C1368,19C724,8C1689,16C872,6C1406,14C1083,10C1448,15C1272,8X1470,20C814,5C1465,19C854,11C1351,20C840,1C1633,22C849,2C961,21C659,11C1233,13C741,5C1041,18C646,4C1121,13C907,END","14C723,13C751,20C652,18C1162,16C644,19C725,18C1064,19C932,18C914,15C764,22C1468,21C600,18C628,22C700,15X822,19C914,13C871,16C667,14C771,17C685,20C816,14C949,15X1372,19C968,16C934,15C1429,16C808,17C832,14C733,17C1354,22C1149,17C791,20C702,21C1058,13C780,21X1667,13C803,20C749,21X1315,22C824,END","1C1062,14C638,9C942,18C684,11C792,13C686,5C895,16C676,7X1243,17C847,10C1565,19C682,12C1765,21C728,6C1244,20C787,3X2715,15C836,4C1351,22C744,END","10C882,22C635,1C863,18C794,2C927,15C759,2C917,22C1022,10X1591,14C635,9C1386,20C609,11C771,17C743,3C1438,13C756,3C878,21C807,7C1171,16C852,8C1512,13C1645,5C802,17C582,11C989,20C888,4C1754,21C774,12C1088,14C690,9C1139,15X898,6X1484,16C931,4C1237,19C777,5C1490,18X1462,12C1504,19C651,END",Female,43,0,1.0,2,"50,000 - 59,999",chef,conservative,Democratic,1.0,,2,,2,,71128469,12,R_1LhFip5e3GQQLfF,-0.091640963,1
12,11/17/22 12:18,11/17/22 12:22,0,100,275,1,11/17/22 12:22,R_0MwISyLnph6Hd6N,anonymous,EN,0.0,0.0,25.168,0,1,2,1,"1,2",,,,,,,,,,,,,,,"22X1328,17X207,16X239,18X158,18C14,15X190,14C15,16X238,19C110,13C79,17C37,14X238,21X812,20C22,21C174,13X830,22X175,19X207,15C158,20C257,END","11X1776,2X397,6X61,4C84,3C141,8X189,10X132,3C71,4C156,12X133,9X140,8X115,5C132,7C171,5X1333,1C85,10C3,6X19,7C20,9X323,END","8C512,16X67,6X292,13C277,7X44,18C3,1C3,14X308,4X180,19C367,11X114,21C147,5X100,17C3,9X52,20C35,12X100,15X699,2X2,22X195,END","4C2639,17X146,2X113,13X97,1X114,17X115,5X82,20C99,10C98,22X593,12C146,14C194,7X194,13C227,11X226,16X33,6X32,20C160,7C96,16X226,5C17,18C65,11X49,18X50,9C33,19C17,9C48,15C97,2C49,15X33,3C19,22X690,12X145,21X913,8X225,21X1,1C1,14X417,6X241,19X31,END","16X1792,14X1615,18C47,22C1,15X1759,20C128,18C176,22C192,14X160,13X191,21C158,14X159,15X96,20C143,20C175,13X143,17X174,17X158,16X336,17X1088,22C750,22X79,17C15,21X127,19C15,21X29,18X62,15C190,21C13,20X238,14X239,16X304,19C14,18C29,16C30,13X207,19X686,19X1039,13X109,15C125,END","7C688,14X178,12X131,18X1025,3X209,17C3,4C177,19C18,2C226,15X146,5C112,13X178,8C17,16C33,6X32,22C33,10X50,20C225,9C2,21X192,END","4C815,18X48,5X1600,19C48,7X48,21C223,3C176,13C256,3X304,18X1358,10C190,13C334,2X1182,14C79,11X1455,21X1709,1X255,22C190,8C222,20X5438,4X461,15X686,11X135,17X205,2C126,17X332,7X150,19C150,6C126,16X190,5C133,20C157,9X190,22C125,12C605,15X974,10X125,16X124,8X125,14C6,END",,,,,,,,Male,35,0,1.0,3,"70,000 - 79,999",healthcare,Liberal,Democratic,1.0,,2,,2,,8112948,13,R_0MwISyLnph6Hd6N,,0
