,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,check1,check2,check3,check4,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,gender,age,hispanic,ethinicity,social class,income,occupation,ideology,affiliation,Q275,Q276,Q277,Q278,Q279,Q280,mTurkCode,idid,ResponseID,dscore,Default
0,11/17/22 12:17,11/17/22 12:20,0,100,172,1,11/17/22 12:20,R_2YnchknwY8fcAuW,anonymous,EN,0.0,0.0,11.229,0,1,2,1,"1,2",,,,,,,,,,,,,,,"15C1295,19C75,14C43,14X108,21C20,18C99,18X99,13X171,17X82,19C42,16C50,20C12,22X115,21C83,15C12,20C11,22X90,17C2,16X82,13X99,END","5X416,3X84,5X115,4X91,6X123,12C2,10X98,7X91,12X132,8X114,11X155,9X124,2C82,11C10,3C82,2X123,1X114,9C35,8X164,6C44,END","4C483,15X178,8C91,21X203,7X147,18X161,6C34,17X140,5X146,13X129,12C42,14C35,1X131,16X156,3X131,19C50,10X137,20X155,9X139,22X145,END","11C303,19X90,8X185,14C51,1X138,13X146,5X179,21C42,9X147,13C90,4X145,22C26,8X186,20X154,10X155,17C51,3X355,22C83,3C49,14X179,6X155,16X202,2X187,18C51,10X177,17C89,5X185,15C165,7C42,16C75,6X170,18C50,12X154,21X146,4C58,20C75,7X138,15C90,9C66,19X195,END","15X448,16X218,16X170,19C98,21X209,18X161,14C59,21C82,13C91,19C42,16C58,20C72,18X179,14C17,21C81,18X186,20X195,19X186,14C27,14C130,22C27,17C138,22C59,22X194,15C82,19C17,13C83,13X169,21C2,20X178,18X114,17C105,16X186,22C25,17C91,20C26,15C59,15C10,13X177,17C121,END","4C296,15C56,10X202,20C91,1X147,16C122,7X195,19C43,6X211,18X161,2X177,17C72,12C26,22C10,8C93,14X161,3X105,21X211,11C57,13X178,END","6C352,22X202,5X251,16C90,7X172,22C106,11C41,18C64,3X137,18X186,3X196,20X187,8C66,21C65,5X169,14C73,7X177,15X179,4C50,15C58,12X178,16X201,1C65,17C73,2C41,14C40,11X177,13X162,6C50,13C82,10X186,19C74,1X153,21X152,9C57,20C65,12C49,19C83,9C73,17X161,END",,,,,,,,Female,30,0,1.0,3,"40,000 - 49,999",Supervisor,Liberal,Democratic,1.0,,2,,2,,48736228,1,R_2YnchknwY8fcAuW,,0
1,11/17/22 12:16,11/17/22 12:20,0,100,203,1,11/17/22 12:20,R_2qrCD9o2sk9s7pY,anonymous,EN,0.0,0.0,15.555,0,1,2,1,"1,2",,,,,,,,"16C2151,22C143,13C86,20X215,19X183,21C126,13C151,21X272,14C72,20X584,17C110,15X184,18X263,16C71,15X199,22C102,14C70,17X199,18C31,19X183,END","7C916,6X191,12C62,3C134,1X78,6X158,10C111,1C15,7C86,9X142,4C30,5X158,2X158,12X209,2C103,3X199,11C111,9X158,8X142,11X142,END","1C863,14C15,7X214,19C54,11C79,20C96,5X231,18C54,2X176,16C22,6X286,22X326,9X47,15C134,4C79,21C168,8X166,17C125,12X166,13X141,END","2C279,14C22,12X181,15C168,8X167,21X270,7C71,15X142,6C6,22C13,6X189,18X206,12C14,14X166,10C174,13X182,9X173,20C86,11C158,13C150,3C63,17C70,1C120,20X237,7C94,21C118,1X191,19X229,3X229,17C149,5C78,16C5,4X215,16C67,4C181,22C13,9C133,19C94,11C29,18X189,END","18C440,15C109,13X247,21X213,13C7,22C153,16C85,21X85,18X190,19X165,21X206,20C189,13C54,17C29,17C21,20C53,18X239,15C165,15X229,22C21,14X245,15C22,16C29,19C119,14X157,14C21,22C72,19C5,20X246,20C30,19C22,16X205,22X117,16C192,14C4,13X254,17C5,18C101,21X221,17X222,END","9X328,14C204,1X77,13C46,5C29,20X77,7X213,16C204,11X45,15X229,4C15,19X38,10X213,22X221,3C221,21X205,12X229,18X212,2X206,17C69,END","3X1639,13X324,4C29,14X248,1X237,20X92,11C4,15C149,5X260,22C76,6X164,16C4,3C13,18C68,8C6,20X229,5C156,14C4,8X76,19C220,6X172,16X246,7X76,15C213,7X36,21X196,10X229,17X304,2C54,19X69,9C204,22X229,12X205,21X214,2C196,13X37,12X197,18X229,11X245,17C132,END",,,,,,,,,,,,,,,Female,48,0,1.0,3,"50,000 - 59,999",MANAGER,Liberal,Democratic,1.0,,2,,2,,29778413,2,R_2qrCD9o2sk9s7pY,,0
8,11/17/22 12:16,11/17/22 12:22,0,100,368,1,11/17/22 12:22,R_3n9hSA9VjdQsL1V,anonymous,EN,0.0,0.0,14.034,0,1,2,1,"1,2",,,,,,,,"13C1528,22C917,18C656,21C885,20C693,19C792,13C800,21C665,17C693,16C733,16C589,20C671,22C657,14C773,17C708,15X2199,19C728,14C770,18C733,15C822,END","2C2113,8C867,5C894,4C1286,2C858,5C904,10C722,3X1530,11C1452,6C1819,1C683,10C987,9C1396,1C1211,7C1406,9C1754,12C655,12C866,4X2600,7C1024,END","4X2040,21C1577,1C1774,16C1126,10C1073,22C913,8C1176,15C1585,11C1043,20C841,5C1811,14C937,6C1337,19C1354,3C1604,13C906,7C1358,18C970,9C1613,17C1042,END","11C999,21C952,5C1840,13C771,6C1626,17C919,4C1108,16C1297,7C1095,18C874,3X1720,16X3042,2C1478,19C890,2C1002,20C735,8C973,17C933,12C932,14C717,10C1112,20C788,5C1023,13C868,9C1403,14C947,7C1200,21C811,4C1015,22C1308,10C1224,19C792,12X1672,18C1301,1C1174,22C769,6C1107,15C927,9C799,15C948,END","19C928,14C643,19C733,13C718,18C784,16C847,18C702,17C645,16C751,15C784,20C819,14C662,18C848,20C1093,17C713,16C621,17C713,19C689,20C776,13X1299,22X1322,22C755,18C837,22C689,20C764,17C701,21C872,14C910,13C902,19C774,21C799,14C874,15X1671,13C806,21C1009,15C1141,16C1717,22C1147,21C882,15C905,END","4C983,22C1244,7C964,20C1418,2C1036,19C977,5C930,13C857,3X2206,21C1432,8C917,17C818,11C821,18C943,1C830,15C825,9C924,14C902,12C1144,16C830,END","6C1065,21C872,7C956,20C732,11C884,21C738,10C998,13C698,3X1555,14C808,12C1036,20C896,12C834,13C664,7C948,16C938,6C1546,18C808,2C1234,22C804,10C1792,15C1215,5C1613,22C802,1C1122,17C868,8C975,14C773,4C961,19C898,1C958,19C904,8C780,15C849,2C990,17C887,9C931,18C661,4C864,16C706,END",,,,,,,,,,,,,,,Female,69,0,1.0,3,"40,000 - 49,999",Editor,Liberal,Republican,1.0,,2,,2,,31692255,9,R_3n9hSA9VjdQsL1V,0.580236875,1
10,11/17/22 12:15,11/17/22 12:22,0,100,402,1,11/17/22 12:22,R_2duakrBrTIhbKyq,anonymous,EN,2.23,8.222,19.573,3,1,2,1,"1,2",,,,,,,,,,,,,,,"22C938,16C625,13C706,19C571,17C642,20C613,14C615,20C608,15C773,18C728,16C526,21C544,17C611,13C614,21C612,14C629,19C576,15C687,18C710,22X1004,END","10C997,1C700,11C619,5C608,6C670,5C693,6C640,1C652,4C710,2C667,9C580,7C591,10C601,7C611,8C576,12C667,3X1247,2C533,12C826,8C679,END","3C1126,18C845,5C836,22C645,1C708,20C676,4C841,19C655,9C809,16C586,12C658,14C627,10X1001,17C697,11C787,21C614,8C687,15C712,6C616,13C627,END","7C837,14C601,1C562,16C578,6C630,19C603,11C685,18X1005,9C668,20C709,5C660,18C566,3C541,17C593,12C850,15C676,12C670,16C618,1C677,13C630,2C626,22C595,6C629,21C613,2C704,19C668,8C737,14C596,9C619,15C589,7C825,17C638,3C863,13C656,10C599,20C683,11C751,22C639,4C651,21C728,END","22C594,21C599,21C553,16C516,22C582,13C672,18C530,19C644,15C604,15C557,18C561,17C603,20C594,15C571,13X1149,20C861,14C709,13C725,19X674,21C699,20C584,17C560,19C572,17C524,17C609,18C623,16C627,22C598,14C702,14C557,15X930,21C746,13C716,16X966,22C861,16C612,20C574,19C664,18C738,14C618,END","2C872,13C763,1C621,20C532,4C585,14X1022,9C856,18C863,11C807,22C641,10C899,21C612,6X1338,16C879,3C978,19C616,8C751,15C695,7C734,17C625,END","7C1007,21C630,3X966,17C606,6C829,16C778,7C694,22C634,8C760,18C622,5C708,21C765,5X1094,16C673,1C838,22C557,6C838,19C610,11C613,19X913,8C1387,15C1064,1C742,15C885,4C1008,14C908,9X997,17C801,12X1178,13C1037,2C749,14C732,12X1123,20C730,10C1805,18C955,11X1766,13C764,4C1320,20C817,END",,,,,,,,Female,38,0,1.0,3,"70,000 - 79,999",banking,Conservative,Democratic,1.0,,2,,2,,13380521,11,R_2duakrBrTIhbKyq,0.616048803,1
11,11/17/22 12:16,11/17/22 12:22,0,100,358,1,11/17/22 12:22,R_1LhFip5e3GQQLfF,anonymous,EN,0.0,0.0,16.269,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"17C1028,20C823,21C762,18C885,21C647,20C603,22C653,18C698,15C884,19C682,15C768,13C905,14C886,19C662,16C932,16C619,17C654,22X1362,14C1061,13C857,END","6X1821,5C1248,5C739,1C1010,9C725,3X1398,1C846,4C1748,2C983,11C1023,9C900,8C785,11C793,10C701,2C885,12C1070,3X1276,7C1404,12C959,7C1050,END","8C1389,19C817,10C1139,13C702,12C891,16C810,5C944,21C640,1C911,20C842,11C1020,18C762,7C1327,14C669,4C1145,22C685,3X1359,17C864,6C892,15C999,END","1C955,18C829,12C1075,14C651,9C1017,21C772,7C1093,17C686,9C892,17C996,4C1425,16C860,3C1381,22C783,2C981,15C906,7C1368,19C724,8C1689,16C872,6C1406,14C1083,10C1448,15C1272,8X1470,20C814,5C1465,19C854,11C1351,20C840,1C1633,22C849,2C961,21C659,11C1233,13C741,5C1041,18C646,4C1121,13C907,END","14C723,13C751,20C652,18C1162,16C644,19C725,18C1064,19C932,18C914,15C764,22C1468,21C600,18C628,22C700,15X822,19C914,13C871,16C667,14C771,17C685,20C816,14C949,15X1372,19C968,16C934,15C1429,16C808,17C832,14C733,17C1354,22C1149,17C791,20C702,21C1058,13C780,21X1667,13C803,20C749,21X1315,22C824,END","1C1062,14C638,9C942,18C684,11C792,13C686,5C895,16C676,7X1243,17C847,10C1565,19C682,12C1765,21C728,6C1244,20C787,3X2715,15C836,4C1351,22C744,END","10C882,22C635,1C863,18C794,2C927,15C759,2C917,22C1022,10X1591,14C635,9C1386,20C609,11C771,17C743,3C1438,13C756,3C878,21C807,7C1171,16C852,8C1512,13C1645,5C802,17C582,11C989,20C888,4C1754,21C774,12C1088,14C690,9C1139,15X898,6X1484,16C931,4C1237,19C777,5C1490,18X1462,12C1504,19C651,END",Female,43,0,1.0,2,"50,000 - 59,999",chef,conservative,Democratic,1.0,,2,,2,,71128469,12,R_1LhFip5e3GQQLfF,-0.091640963,1
13,11/17/22 12:20,11/17/22 12:23,0,100,168,1,11/17/22 12:23,R_336UWrjlvVqEAbe,anonymous,EN,0.0,0.0,23.78,0,1,2,1,"1,2",,,,,,,,"17C792,16X194,17C1,15X234,16X201,14X210,21C114,19X225,22X226,20X216,21X233,19X209,13C89,18C90,13C113,15X217,20C40,14C120,22C88,18X210,END","9C363,3C113,8C97,9X225,12C10,7X241,2C193,11C105,3C125,7C112,4C151,1X202,8C81,4C145,6X233,10C49,10X249,5C105,5X241,6C2,END","12C328,21C122,7C113,22C136,1X224,20X224,4X209,18C17,5C1,14X136,11X249,19X168,9C72,15C1,8C217,13X240,3C185,17C58,2X200,16C88,END","3X480,14C98,11X256,16X241,2X192,20C1,12X81,16C8,6X192,13X96,6C192,15X88,3X224,17X80,1X185,18X272,9X104,14C33,8C39,17C48,1X176,13X112,2C128,21X249,5C16,19X209,7X95,18X328,8X48,22X280,9X89,20C169,4C16,22C21,11X39,21X287,10X232,19X152,10C80,15C1,END","19C319,21X249,19X257,16C184,17C8,13C40,16C8,17C41,14C207,17C8,20X96,18C63,20C8,15X224,18C121,15X184,13X264,22C65,18C16,19X256,14C191,21X80,16X375,14C16,20X119,14X216,15C31,16C24,13X280,19X271,17C32,15C40,20X199,13X191,21X87,22C224,21X257,22C16,18X264,22C208,END","12C296,15C96,2C7,21C129,9C7,14C119,6X240,20C168,8X263,17X191,5C47,22X248,3C143,16C7,11C96,13C167,10X79,18C15,4C224,19C32,END","1X423,14X272,9X151,22C23,7C6,17X199,10X111,20C31,5X215,22X88,2C184,19C88,6C168,20X111,3C200,19X80,3X184,17C39,11X103,16C231,4X142,15C55,2X297,13C23,12X48,16X247,8C47,21C31,4X206,18X135,7C16,15X215,5C40,13X54,12X247,14X206,9X72,18X279,10C39,21C22,END",,,,,,,,,,,,,,,Female,49,0,1.0,3,"50,000 - 59,999",MANAGER,Liberal,Democratic,1.0,,2,,2,,19331090,14,R_336UWrjlvVqEAbe,,0
15,11/17/22 12:18,11/17/22 12:23,0,100,302,1,11/17/22 12:23,R_3EgRNkXzy4ekdbO,anonymous,EN,0.0,0.0,12.344,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"17C3160,16C53,15X194,18C109,14C438,21X3844,18X428,14C100,21X119,20X236,22C85,13C92,17C101,19X1044,19X141,20C783,22X188,13C85,15X163,16X117,END","6X1225,2X163,12X165,5X148,8C28,11C52,3X189,4C148,9C100,12X45,5X94,6X153,10C70,4C36,11C156,3X180,10C19,8X173,1C68,7C36,END","6X248,16C118,9X59,15C70,10C21,13C100,3C27,20X181,4X173,14C82,2C68,22X173,1X173,17C85,12X101,18X195,7C75,21C101,11X67,19C126,END","3X360,20C301,2X196,16C92,12X108,13C82,12X153,15X204,6C84,14C116,9X166,16X205,4C83,22X213,7C116,20C84,4X198,18X197,5C3,22X230,7C140,14X180,8X300,18C100,8C117,19C76,9C109,13X196,2C85,21X212,6X213,19C180,5X203,21X205,1X188,15C28,11X308,17X845,10X174,17X181,END","20X488,21C139,21X165,13C93,17X187,19C126,16C35,21C117,16C53,15X212,22X309,15X316,13X220,14X204,17X197,22X245,19C173,15X187,18C110,20X164,20X181,18X219,13C85,14X213,18C70,13C92,22C94,17C69,22C84,19X164,16X117,20C59,17X133,14X204,16X197,19C85,14C109,21C110,18X173,15C92,END","12C305,17X99,7C93,13C79,11C76,14C69,1X188,20C92,5C84,19C205,4X214,22C131,6C20,15X189,10C99,21X149,9X284,16C48,3X193,18C60,END","7C291,19X179,9X149,15C68,11C76,21X189,8X197,18X150,6C100,22X186,4X147,13X182,8C130,18X180,3X214,20C148,10X165,15C36,12C92,19X182,1C53,16X180,5X189,16X188,1X204,17X191,10C68,17C109,6X195,14X187,5X181,20C93,4C100,22C69,12X214,13C92,2X179,14X197,7C62,21X213,END",Female,38,0,1.0,4,"50,000 - 59,999",manager,Liberal,Democratic,1.0,,2,,2,,4146518,16,R_3EgRNkXzy4ekdbO,,0
16,11/17/22 12:17,11/17/22 12:23,0,100,352,1,11/17/22 12:23,R_2cCLssTcMMmfoWp,anonymous,EN,6.54,7.617,16.086,2,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"19C3214,13C1223,16C848,14C654,20C602,18C592,17C668,13C630,14C603,21C692,22C552,22C618,21C670,19C546,17C579,15C594,16C527,18C663,15C621,20C615,END","2C2535,11C1248,12C735,7C873,4C638,11C839,5C902,4X1189,8C941,9C826,12C771,6C599,3X1284,10C800,7C735,1C673,6C705,2C667,5C531,9C604,END","4C1405,19X1436,9C1458,18C888,2C1447,21C802,12C839,14C881,3C1469,15C1148,6C1256,22C1333,7C938,16C1322,10X1326,20C792,5C939,13C759,8C1315,17X1248,END","2X2146,18X1344,8X1377,14C1094,9X1263,18C663,1C1297,22C895,6X1109,15C1130,7X1051,15C1192,12C1259,22C844,10C730,14X1389,1X3395,17X1085,3C665,20C874,3X973,19X1756,10X1710,16C1066,4X1312,13C945,12X1353,20C853,5X1167,21C764,6X1110,17C1126,11X1354,13C1030,2C1152,19X1519,11C2204,16C831,8X1872,21C1087,END","22C1281,21C1495,15X678,15C463,18C583,14X728,22X1011,17C1027,13C699,22X1458,17C743,18C703,19C996,17C678,21C717,20C600,17C692,13X668,19C662,18X892,20C737,20C533,14C510,13C865,16C622,22C590,16C610,14C530,15C637,21C1141,16C736,18X757,15C601,19C636,14C599,20X922,13C669,19C702,16C642,21C680,END","10C1300,13C1032,9C1228,19C1376,5C752,18C620,7C926,17C652,11C1273,20X1066,3X1178,22C656,1C827,21C627,6C949,16C490,8C740,15C704,2X1108,14C559,END","1C1323,21C889,10C960,17C584,3X1385,20C624,12X1231,22C697,8C861,20C542,5C713,18C759,4X1304,14C699,11C794,18X1577,2C713,17X1231,6C1200,19C803,3C779,21C753,7X2393,15C1074,4C1072,13C1348,7X2678,14C800,12C1114,16C841,8X1627,15C850,5X1204,13C875,2X2060,19C838,9C1721,22C1107,11C757,16C651,END",Female,35,0,1.0,3,"20,000 - 29,999",Manager,Neutral,Democratic,1.0,,2,,2,,26576192,17,R_2cCLssTcMMmfoWp,0.586312524,1
23,11/17/22 12:21,11/17/22 12:24,0,100,182,1,11/17/22 12:24,R_1GByWLU2lKpucmj,anonymous,EN,0.0,0.0,13.85,0,1,2,1,"1,2",,,,,,,,,,,,,,,"14X335,18C54,17C11,19C131,21C93,22C104,20X74,16C44,15C141,18X116,17C85,20C116,14X181,16C134,19X156,15X131,13X132,22C12,21C92,13X301,END","10C480,4X117,9C109,10C109,5X164,1X148,6X172,3X148,7C62,11X108,4X140,11C28,3X148,6X172,2X172,2X164,8C6,12C68,12X100,7X118,END","2X312,16X163,8C141,21C117,4C53,20C171,7C108,14C12,9C46,13C141,3X220,18C44,1X172,19C69,6C117,22C116,10X125,17C133,12C116,15C76,END","8X216,21C109,7X126,19X156,7X132,13C100,4X196,21X36,5X164,18X75,3C150,15X204,10C10,16X165,5X237,13X205,9X30,22C116,11X124,14X165,10C116,20X149,6X171,16X253,8C13,14X213,9C69,19C109,3C45,22C12,6X229,17C3,12C109,18X165,4X154,15C8,2C17,20X133,1X116,17X172,END","14C216,14X125,13C110,22C27,20C5,21X220,13C100,14C134,21C124,18C3,19C13,22X236,13C125,15X133,22C132,18C44,20X212,18C20,19X213,16C5,18C28,19C69,21C100,20C12,15C197,17X173,22X147,15X318,17X124,17X124,15C125,14X139,13X149,16C179,16C133,21C93,19C4,17C158,16X179,20C68,END","12X2081,17X76,10X76,20C84,4C107,14X93,5C54,19C2212,7C140,18C141,6X83,21C86,9X99,16X101,1C108,22C116,3C107,15X117,11X124,13X141,END","1C992,19C115,11X134,22C131,4C116,13X132,9X133,19C116,9X149,14X139,2C141,15X124,7X157,18X157,12X124,16X147,10X149,22C139,8X173,20C157,8X156,21C131,6C173,18C140,11X155,13X133,5X142,16X149,6C174,17X162,10X148,20C132,3C173,21C157,2C147,17X141,3X371,14X166,5X163,15X163,END",,,,,,,,Female,48,0,1.0,4,"50,000 - 59,999",manager ,Liberal,Democratic,1.0,,2,,2,,31787491,24,R_1GByWLU2lKpucmj,,0
27,11/17/22 12:17,11/17/22 12:25,0,100,473,1,11/17/22 12:25,R_yjwwp6aK0711MaJ,anonymous,EN,0.0,0.0,14.02,0,1,2,1,"1,2","21C1710,20C1087,17C942,16C1104,16C1054,15C1367,13C1219,20C878,22C2104,17C889,21C999,19C900,14C885,15C802,18C973,19C847,22C1117,13C812,14C921,18C896,END","3X2782,1C1072,2C953,5C1561,12C1275,9C1066,8C905,9C873,6C1212,11C1039,8C1006,4C924,7C1425,1C1347,10C846,10C891,5C1016,4C1527,7C1895,3X1717,END","1C1383,19C1191,11C1480,15C1148,5X2852,22C1035,10C1020,21C1153,12C1106,14C785,6C988,18C987,3C1539,16C954,7C1090,17C851,4C1150,20C786,8C895,13C775,END","8C2093,15C900,4C1270,17C1082,6C834,13C784,9C869,19C836,3X2052,21C838,11C1128,16C817,12C1048,16C876,4C1114,19C769,10C968,14C723,2C955,22C1002,10C693,18C752,7C875,18C763,1C667,13C687,8C768,17C767,3C896,22C784,9C1028,20C875,6C857,14C849,5C1729,20C1344,5C1850,15C836,12C811,21C1290,END","14C928,20C587,22C635,13C757,15C842,18C750,21C728,13C845,16C938,20C928,21C751,16C757,14C1550,22C1605,19C623,16C785,19C883,13X1848,17C837,22C704,14C763,14C752,18C664,17C853,16C879,20C889,21C977,15C1689,21C1019,19C883,17C773,18C863,22C742,18C929,17C671,15C672,19C758,15C868,20C866,13X1538,END","10C1169,20C981,5X2213,16C1262,4X2101,19C1460,12C1402,18C1015,3C2548,13C1152,7X1905,14C1549,1C2253,22C1954,9C2003,17C1260,11C1906,15C1428,6C1555,21C1485,END","8C1439,22C1227,3C1923,16C1165,3C2751,21C1840,11C1692,21C994,7X3850,15C1291,1C1556,15C1081,9C1711,20C1123,10C1668,19C1164,5C2881,17C1145,7C2329,16C1271,9C3232,13C1182,2C1373,20C1089,1C1910,18C1095,6C1906,14C2166,4C2776,19C1156,2C1651,18C1372,12C2622,17C3450,4C1742,22C1060,8C2605,13X1501,10C3298,14C1791,END",,,,,,,,,,,,,,,,,,,,,,Female,64,0,1.0,3,"90,000 - 99,999",RETIRED,Liberal,Republican,1.0,,2,,2,,55975774,28,R_yjwwp6aK0711MaJ,1.036551029,1
