,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,check1,check2,check3,check4,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,gender,age,hispanic,ethinicity,social class,income,occupation,ideology,affiliation,Q275,Q276,Q277,Q278,Q279,Q280,mTurkCode,idid,ResponseID,dscore,Default
6,11/17/22 12:17,11/17/22 12:21,0,100,257,1,11/17/22 12:21,R_3KBnmwlupMoTq9h,anonymous,EN,10.227,10.227,10.844,1,1,2,1,"1,2",,,,,,,,"22C1202,20C595,21C519,21C470,13C535,14C491,19C569,16C572,17C522,15C670,14C500,13C462,19C573,17C511,15C664,18X864,20C659,18C662,16C652,22C571,END","8C1219,6C520,2C500,5C909,2C544,10C546,1C547,4C637,11X688,12C560,9C562,12C507,11C452,8C628,3X1060,7C1341,6C987,7C757,1C664,4C659,END","8C951,21C863,6C1056,20C518,1C687,13C489,11C640,22C814,5C920,15C593,7C1151,16X1010,12C571,14C461,4C795,18X858,10C669,19C593,3C799,17C590,END","5C877,21C534,10C708,22C602,6C615,14C516,12C548,14C478,2X810,16C602,9C569,16C542,12C458,19C514,4C594,18C494,5C659,22C453,6C511,13C530,7C480,20C556,8X1087,18C636,1C532,21C429,2C589,15C605,11C473,20C573,1C538,13C568,10C937,15C545,8C474,19C2714,3X1387,17C582,7C1347,17C519,END","19C1632,16C676,13C732,22C509,18X777,21C433,19C515,14C524,14C426,21C526,17C523,17C443,18C536,18C481,22X750,13C568,17C585,16X713,21X5564,19C488,13C531,20X684,13C519,16C557,14C493,20C516,19C585,22C514,20C402,22C440,20C444,15X742,18X711,15C551,16C523,17C512,14C493,15C507,15C451,21C476,END","4C776,15C569,6C598,21C552,7C646,17C532,8C547,13C546,1C492,20C561,9C603,14C533,10C915,18C557,11C515,19C429,5C873,16C499,2C521,22C520,END","12C831,20C770,11C495,13C470,2C511,15C567,1C495,19C398,8C465,19C451,9C456,16C457,5C702,14C451,1X745,14C376,8X673,18C514,11C417,20C539,12C452,16C504,2C470,13C493,6C506,15C472,3X1102,17C407,6C519,17C393,9C469,18C480,7C470,21C405,4C833,22C512,5C615,21X616,10C512,22C487,END",,,,,,,,,,,,,,,Male,33,0,1.0,2,"90,000 - 99,999",Wholesale manager,Liberal,Republican,1.0,,2,,2,,44704511,7,R_3KBnmwlupMoTq9h,0.674188215,1
8,11/17/22 12:16,11/17/22 12:22,0,100,368,1,11/17/22 12:22,R_3n9hSA9VjdQsL1V,anonymous,EN,0.0,0.0,14.034,0,1,2,1,"1,2",,,,,,,,"13C1528,22C917,18C656,21C885,20C693,19C792,13C800,21C665,17C693,16C733,16C589,20C671,22C657,14C773,17C708,15X2199,19C728,14C770,18C733,15C822,END","2C2113,8C867,5C894,4C1286,2C858,5C904,10C722,3X1530,11C1452,6C1819,1C683,10C987,9C1396,1C1211,7C1406,9C1754,12C655,12C866,4X2600,7C1024,END","4X2040,21C1577,1C1774,16C1126,10C1073,22C913,8C1176,15C1585,11C1043,20C841,5C1811,14C937,6C1337,19C1354,3C1604,13C906,7C1358,18C970,9C1613,17C1042,END","11C999,21C952,5C1840,13C771,6C1626,17C919,4C1108,16C1297,7C1095,18C874,3X1720,16X3042,2C1478,19C890,2C1002,20C735,8C973,17C933,12C932,14C717,10C1112,20C788,5C1023,13C868,9C1403,14C947,7C1200,21C811,4C1015,22C1308,10C1224,19C792,12X1672,18C1301,1C1174,22C769,6C1107,15C927,9C799,15C948,END","19C928,14C643,19C733,13C718,18C784,16C847,18C702,17C645,16C751,15C784,20C819,14C662,18C848,20C1093,17C713,16C621,17C713,19C689,20C776,13X1299,22X1322,22C755,18C837,22C689,20C764,17C701,21C872,14C910,13C902,19C774,21C799,14C874,15X1671,13C806,21C1009,15C1141,16C1717,22C1147,21C882,15C905,END","4C983,22C1244,7C964,20C1418,2C1036,19C977,5C930,13C857,3X2206,21C1432,8C917,17C818,11C821,18C943,1C830,15C825,9C924,14C902,12C1144,16C830,END","6C1065,21C872,7C956,20C732,11C884,21C738,10C998,13C698,3X1555,14C808,12C1036,20C896,12C834,13C664,7C948,16C938,6C1546,18C808,2C1234,22C804,10C1792,15C1215,5C1613,22C802,1C1122,17C868,8C975,14C773,4C961,19C898,1C958,19C904,8C780,15C849,2C990,17C887,9C931,18C661,4C864,16C706,END",,,,,,,,,,,,,,,Female,69,0,1.0,3,"40,000 - 49,999",Editor,Liberal,Republican,1.0,,2,,2,,31692255,9,R_3n9hSA9VjdQsL1V,0.580236875,1
19,11/17/22 12:17,11/17/22 12:23,0,100,399,1,11/17/22 12:23,R_2diIqhVTrT1X7Zc,anonymous,EN,0.0,0.0,21.799,0,1,2,1,"1,2",,,,,,,,"21X7432,15C2216,17C872,18C862,18C575,15C837,17C781,20C909,14C918,22C708,13C1144,16C737,19C740,19C574,16C752,21C743,14C625,20C729,22C717,13C854,END","3C2481,7C873,1C971,8C908,12C1208,12C646,10C1804,5C1631,10C777,7X1315,2C1503,2C607,8C1189,9C892,6C673,4C1104,11C1091,1C930,4C855,3C1903,END","3C2188,21C989,5C1115,15C1030,10C1009,18C895,9C1548,20C1019,8C1463,13C925,11C881,22C999,6C1337,19C665,7C951,16C716,2C1032,14C690,1C1000,17C716,END","10C995,16C990,12C1031,21C732,9C960,19C867,11C821,17C1020,11C918,15C784,6C1184,20C597,5C916,22C811,2C673,14X877,9C1096,20C703,6C924,14C656,8C1446,18C796,3C1404,17C614,3C1102,22C632,8C1337,16C584,5C1086,13C753,4C1260,18C753,7C857,19C711,4C1367,21C705,1C853,13C735,12C1868,15C583,END","16X1313,15C766,20C676,22C685,21C870,20C704,22C696,15C568,19C786,18C682,17C598,16C717,13C695,21C671,18C1279,13C703,16C703,14C742,14C588,18C668,14X1512,21C740,19C635,19C593,21C574,13C637,14C603,16C731,15C924,18C668,20C661,15C698,17C636,22C697,22C571,19C905,20C650,17C723,17C494,13C761,END","2C1354,18C808,7C826,16C743,11C1464,13C783,5C700,20C720,9X1804,14C756,6C1342,22C704,1C1020,21C784,12C973,19C744,10C830,15C983,4C776,17C655,END","2C960,14C743,10C895,15C705,7X1791,15C1095,2C2231,21C717,5C859,20C735,1C1276,17C652,6C945,13C628,9C1069,20C622,6C784,21C909,11C1432,17C729,7C888,19C683,12X1463,13C660,8C2721,18C908,11C1006,22C1390,5C992,22C663,3X1936,14C647,4C787,18C747,9C737,19C596,3X1244,16C675,10C1599,16C724,END",,,,,,,,,,,,,,,Male,46,0,1.0,1,"40,000 - 49,999",Book Cataloger,Liberal,Republican,1.0,,2,,2,,16618441,20,R_2diIqhVTrT1X7Zc,0.056659943,1
27,11/17/22 12:17,11/17/22 12:25,0,100,473,1,11/17/22 12:25,R_yjwwp6aK0711MaJ,anonymous,EN,0.0,0.0,14.02,0,1,2,1,"1,2","21C1710,20C1087,17C942,16C1104,16C1054,15C1367,13C1219,20C878,22C2104,17C889,21C999,19C900,14C885,15C802,18C973,19C847,22C1117,13C812,14C921,18C896,END","3X2782,1C1072,2C953,5C1561,12C1275,9C1066,8C905,9C873,6C1212,11C1039,8C1006,4C924,7C1425,1C1347,10C846,10C891,5C1016,4C1527,7C1895,3X1717,END","1C1383,19C1191,11C1480,15C1148,5X2852,22C1035,10C1020,21C1153,12C1106,14C785,6C988,18C987,3C1539,16C954,7C1090,17C851,4C1150,20C786,8C895,13C775,END","8C2093,15C900,4C1270,17C1082,6C834,13C784,9C869,19C836,3X2052,21C838,11C1128,16C817,12C1048,16C876,4C1114,19C769,10C968,14C723,2C955,22C1002,10C693,18C752,7C875,18C763,1C667,13C687,8C768,17C767,3C896,22C784,9C1028,20C875,6C857,14C849,5C1729,20C1344,5C1850,15C836,12C811,21C1290,END","14C928,20C587,22C635,13C757,15C842,18C750,21C728,13C845,16C938,20C928,21C751,16C757,14C1550,22C1605,19C623,16C785,19C883,13X1848,17C837,22C704,14C763,14C752,18C664,17C853,16C879,20C889,21C977,15C1689,21C1019,19C883,17C773,18C863,22C742,18C929,17C671,15C672,19C758,15C868,20C866,13X1538,END","10C1169,20C981,5X2213,16C1262,4X2101,19C1460,12C1402,18C1015,3C2548,13C1152,7X1905,14C1549,1C2253,22C1954,9C2003,17C1260,11C1906,15C1428,6C1555,21C1485,END","8C1439,22C1227,3C1923,16C1165,3C2751,21C1840,11C1692,21C994,7X3850,15C1291,1C1556,15C1081,9C1711,20C1123,10C1668,19C1164,5C2881,17C1145,7C2329,16C1271,9C3232,13C1182,2C1373,20C1089,1C1910,18C1095,6C1906,14C2166,4C2776,19C1156,2C1651,18C1372,12C2622,17C3450,4C1742,22C1060,8C2605,13X1501,10C3298,14C1791,END",,,,,,,,,,,,,,,,,,,,,,Female,64,0,1.0,3,"90,000 - 99,999",RETIRED,Liberal,Republican,1.0,,2,,2,,55975774,28,R_yjwwp6aK0711MaJ,1.036551029,1
41,11/17/22 12:22,11/17/22 12:28,0,100,402,1,11/17/22 12:28,R_3nTULtuXZwcwfzm,anonymous,EN,0.0,0.0,12.762,0,1,2,1,"1,2",,,,,,,,"17C1792,20C1921,13X1596,18C924,18C761,20C1434,17C968,21C795,22C723,19C1027,22C756,13C676,14C687,16C827,15C1212,15C590,14C909,19C846,21C1112,16C845,END","9C1584,11C1008,7C1473,3X1603,8C1274,4C1395,1C1120,8C1164,10C1472,12C1057,9C1083,1C788,2C1140,5C899,6C859,5C998,11C918,2C962,3C1251,12C1028,END","9C2304,15C757,8C1983,19C1139,3C1031,20C1127,2C1014,16C1022,5C956,13C1261,1C1384,18C1034,6C1263,17C883,12C1091,21C1121,10C1160,14C985,7C938,22C880,END","6C736,17C986,12C1233,20C844,9C1248,14C919,11C1313,18C891,11C1072,22C878,12X1444,16C1077,5C974,13C959,8C1360,21C864,3C1444,14C834,7C956,19C886,5C937,22C782,1C973,17C849,2C1116,20C781,9C938,19C866,4C1369,18C739,10C935,16C759,10C911,21C790,4C972,13C1130,6C1230,15C902,3X2012,15C1429,END","14C608,18C835,14C667,16C696,19C712,13C894,18C822,21C686,15C749,21C785,13C936,17C783,21C840,15C828,17C1008,20C864,16C821,17C929,22C950,19C680,22C651,13C796,15C731,14C778,16C812,20C783,20C629,18C670,19C689,16C607,18C721,19C641,20C701,15C788,13C770,21C904,17C867,14C725,22C937,22C635,END","11C1232,16C898,7C1221,20C773,5C917,21C958,9C1184,15C789,8C1139,13C973,6C786,19C924,12C900,17C848,2C831,14C805,4C801,18X1253,3C1474,22C926,END","6C847,14C629,11C840,16C846,7C1328,19C708,10C833,17C870,6C964,22C835,9C1036,16C786,2C1208,20C769,4C1194,18C1164,1C1034,20C791,2C1003,17C641,12C961,13C793,8C1355,15C962,8C986,15C800,5C1086,13C741,5C786,22C794,3X1435,18C858,4X2090,14C1603,10C987,19C733,12C758,21C935,11C1075,21C680,END",,,,,,,,,,,,,,,Male,56,0,1.0,2,"40,000 - 49,999",Distribution Supervisor,Liberal,Republican,1.0,,2,,2,,3672957,42,R_3nTULtuXZwcwfzm,0.419925193,1
47,11/17/22 12:25,11/17/22 12:29,0,100,275,1,11/17/22 12:29,R_2ePBHEvNkCd1GCy,anonymous,EN,0.0,0.0,12.092,0,1,2,1,"1,2",,,,,,,,,,,,,,,"21C772,22C542,14C489,13C475,17C434,19C563,15C651,18X759,17C521,21C464,16C704,19C593,14C521,15X821,20X571,22C603,18X796,13C488,20C712,16C519,END","6C1014,4X1382,8C694,1C527,3X966,5C743,7C816,7C503,10C840,11C1210,3X926,12X885,8C736,2C627,12C505,11C598,1X560,4X887,9C473,5X955,END","11C1194,19C461,9C1093,17C513,4C666,13C523,6C589,14C674,12C828,18X736,5C697,16C632,3X942,15C415,1C549,20C557,8C723,22C391,7C635,21C383,END","5C841,21C534,3C850,18C413,5C658,20C476,10C591,20C548,9C549,14C468,8C563,16C423,8C602,13C460,12C595,19C570,6C542,22C494,4C571,17C572,9C702,14C614,4X648,22C525,6X723,17C612,1C574,21X723,11C681,15X794,1C487,19C540,2X769,15C616,7C764,13C464,10C600,16C528,11C613,18C407,END","15C601,17X676,13C503,22C494,18X544,17C513,19X779,18C485,14C446,16C537,22C536,14C573,20C562,21C530,16C468,20X975,13C512,19X643,21C466,17C458,22C492,19C466,20C483,15C470,16C405,18C504,17C509,21C611,16C613,13X1111,22X814,14C584,21C687,14C539,15X941,15C475,18C543,19C521,13C494,20X646,END","7C1284,15C712,2X1161,17C625,9X970,22C506,1C822,16X1060,4C895,14C498,6X761,20X745,8C955,18C609,11C576,19C643,3X1252,13C727,12X987,21X964,END","7C896,20C688,4C698,17C500,5X934,14C613,12C530,13X866,2C794,18X787,1C654,15X628,6X2012,17X883,3C3010,19C816,11C825,15C538,7C875,18C653,11C801,19X742,4C655,16X867,2C690,21C646,10C564,21C509,6C707,22X688,9C747,16C538,8C1351,13X908,12X925,20C678,5C969,22C950,10C666,14C561,END",,,,,,,,Female,40,0,1.0,3,"50,000 - 59,999",proofreader,Liberal,Republican,1.0,,2,,2,,71231214,48,R_2ePBHEvNkCd1GCy,0.72077423,1
49,11/17/22 12:22,11/17/22 12:29,0,100,420,1,11/17/22 12:29,R_2tsRaeIxcXV4GGG,anonymous,EN,0.0,0.0,43.666,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"19X3470,21C775,19C648,22C863,22C538,18C797,20C799,16C683,21C617,18C602,13C767,16C608,15C700,14C736,20C928,14X989,17C703,17C463,15C761,13C585,END","2C696,7C653,8C551,3X1007,1C988,10C633,4X1177,12C962,5C809,9C600,6C757,2C613,6C521,7X749,3C525,5C669,11X1104,9X1151,10C599,11C635,END","4C998,20C706,2X4375,19C1065,7C821,18C726,9X988,16C686,5C654,13C546,8C590,14C602,1C590,17C571,6C589,15C1215,12C563,21C718,11X1192,22C1013,END","1C840,21C1182,8C758,18X2764,3X1226,22C650,10C1038,19C795,4C656,20C629,7X929,17C921,12C609,15C597,2C711,16C480,6C628,22X1074,2X1123,13C854,9C590,21C627,6X592,13C655,5X835,19C711,11X903,20C789,8C394,14C659,9C426,15C513,11C511,16C570,1X848,17C945,5X1415,18X979,10C974,14C763,END","13C726,17C594,22X746,21C689,17C630,14C472,18C663,19C577,20C580,17X850,21C767,14C618,14C470,15X892,20C762,20C660,16C680,22X982,19C768,18C650,22C525,21C574,13C602,18C676,15C673,19C706,16C619,21C803,20X1235,22X1022,16X1195,18X1684,19C1633,13C661,16C744,14C689,15C546,15C487,13X846,17C688,END","10C1478,13C640,4C488,17C641,1C511,18C697,9C479,16C616,5X1125,20C814,8X1122,15C657,2C756,21C639,7C511,22C454,3X1020,14C637,11C803,19X1043,END","1C756,16C494,3C798,22C683,7X1023,19C641,12C669,18C485,4X934,14C694,10C816,17C555,1X1111,21X1128,6X1396,21X1392,5C1508,14C824,11C933,16C609,3X1230,15C694,10C953,15C693,8C629,20C556,6C1163,20X1321,9C782,13C792,9C695,13C834,4X1106,17C558,2C632,19C657,7C650,18X1320,12C933,22C903,END",Male,23,0,1.0,2,"50,000 - 59,999",Web Developer,Liberal,Republican,1.0,,2,,2,,69240429,50,R_2tsRaeIxcXV4GGG,0.11259757,1
50,11/17/22 12:18,11/17/22 12:30,0,100,682,1,11/17/22 12:30,R_2OJCK4j1H7HRsa8,anonymous,EN,0.0,0.0,28.202,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"20C5576,19C2015,17C1517,14C1379,21C1603,14C1382,16C1350,19C1348,18C1705,22C1261,15C1739,18C1465,15X2529,21C1326,22C1403,13C1284,20C1255,16C1219,17C1326,13X2086,END","4C4826,9X3150,1C1272,3C1561,4C1189,8X2193,12C2196,10C1532,10C1257,6C1488,7X2446,2C2924,6C1275,5C1167,9C1349,11X2372,3X2794,11C1531,5C1431,7C2587,END","7C3555,17C2181,1C1999,21C2156,8C1517,19C1292,2C1795,13C1384,6C1854,18C2713,12C2353,16C2021,10C1471,15C1266,4C1591,22C2367,5C1829,20C1794,11C1549,14C1327,END","2C11312,18C1795,11C14074,14C2250,9C6954,13C1489,1C1463,21C1591,5C1949,20C3892,5C1483,20C1268,12C47657,22C1931,1C2055,17C1421,8C2332,13C1327,11C1832,18C8976,3C1733,15C2862,3C3585,19C1657,6C1718,15C2447,6C1684,16C1299,10C1519,22C1918,8X2555,14C1299,7X4513,16C1353,9C26043,21C1324,4C1422,19C1288,10C1408,17C1293,END","20X2548,17C13141,14X146,22C109,22C53,21X221,16C48,18C156,17C4,19X187,21X256,15X190,13X236,20C141,17X123,16C19,14X200,19X213,18X255,21C9,21X268,19C11,20C29,14X192,13C99,22X202,16C87,14C119,13X183,18C6075,20C62,18C20,15X93,17X252,16C15,15X280,19C210,15X105,22X160,13C92,END","4X2446,20X225,1X62,13X219,9X281,15X127,6C53,21C90,8C4,18X211,7C3,14C110,10X125,19C19,2C156,22C33,12C2,16X172,3C130,17C159,END","1C901,22X164,7X155,21X198,2C88,16X123,3X195,19C172,6X96,22X232,11C43,15X155,8X235,17X147,2C49,13C44,12X295,19X224,10C60,20C49,4X128,18X243,4X137,16C124,9X169,13C124,5X109,15C83,6C108,21C291,9C118,14X93,3C182,18X407,12X265,17X125,7X168,20X229,8C44,14C97,END",Male,25,0,4.0,3,"90,000 - 99,999",Software Developer,Liberal,Republican,1.0,no,2,,2,,54031585,51,R_2OJCK4j1H7HRsa8,,0
52,11/17/22 12:22,11/17/22 12:30,0,100,450,1,11/17/22 12:30,R_yNIYyVsGnrla8Fj,anonymous,EN,0.0,0.0,15.072,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"22C25523,20X4454,14C1448,18X2208,16C1304,22C1139,17C1329,17C1060,20C2722,19C1921,21C1491,15X1556,13C3298,21C1950,18C2448,13C1666,15X19,16C7,19C177,14X219,END","9C32,8X575,8C28,1C148,12C32,3C146,1C216,2C190,4C178,9C32,7X163,6C102,3C166,2C158,5C152,10X199,12X161,7X154,4C160,11C157,END","6C1137,21X182,1X138,14C5,10X177,18C153,7C65,19C122,9C45,13X247,2C129,22X220,12X249,17X225,5X177,16C289,4C47,15C65,11X135,20C161,END","9X1095,17C3,2X131,17X225,3C175,14C76,3X117,19X193,6C204,22C1,8C104,18X84,8X292,18X174,7C62,15X232,7X103,16C23,6C178,20X173,12X338,20C197,1C5,21X265,11C207,14X76,10C25,22C132,2C166,13C76,1C159,16C55,11C7,21C193,4C50,13X64,12X78,19X295,5C36,15C79,END","14C857,20X54,13X222,14X260,21X105,16X147,21X264,22X232,14C149,15X205,20C48,13C142,17X194,15X221,15C156,17C9,13X208,18C73,19X189,15C158,19C89,16C451,21C40,19X221,18X255,20X225,20X248,16X226,22X49,17X177,18C65,17C135,22X77,19C4,21C8,13X204,22C76,14C154,18C70,16C173,END","1C1024,21C33,10C1,22X230,5X240,13C17,2X234,14X241,7X96,15X159,6X240,20C129,9C27,17C29,3C1,16X229,12X37,18C8,8X270,19X239,END","10C1225,16X219,2X222,17X202,3X220,14X229,3X212,14X229,9C67,21X241,1C96,13X179,7C4,22C13,4C188,20C13,5X206,16X227,9C43,15C136,5X226,15X220,10X253,19C3,6X221,19X43,12X236,17C173,11C20,18C38,12C21,22C27,1X108,18C37,8C50,20C7,11C13,13X115,6X248,21C25,END",Male,25,0,4.0,3,"100,000 - 149,999",software developer ,Liberal,Republican,1.0,no,2,,2,,68348764,53,R_yNIYyVsGnrla8Fj,,0
58,11/17/22 12:26,11/17/22 12:31,0,100,278,1,11/17/22 12:31,R_1Q4sRXimzRGTvNA,anonymous,EN,1.047,10.581,10.995,9,1,2,1,"1,2",,,,,,,,,,,,,,,"22C1367,20C625,15C817,15C497,18C726,13C637,18C620,17C636,17C501,20C680,14C996,16C616,19C665,14X827,21X711,16X787,13C570,21X723,19C558,22C478,END","9C1409,1X945,3X1324,6C654,9C650,3X1107,5C526,11X1006,10C596,8C694,12C620,2C690,10C653,1C580,12C635,4X1276,11C642,2X888,7X760,5X900,END","3X3181,17C1339,6C653,18C664,12X819,21C570,1C633,15C628,8C1398,20C838,10C663,22X642,7C615,14C615,4C502,13C649,5C761,16C667,11C774,19C560,END","5C1200,14C648,1C505,13C596,12C637,16X714,6C303,16C559,2C625,19X825,10C281,17C628,7X814,21C268,7C592,20C559,3X1066,15C269,10C664,21C344,1C681,20C832,3X991,15C277,11C560,22C595,4X1299,13C182,2X906,17C191,5C664,14C529,11X1003,22C260,9C656,18C481,8C335,19C722,9C582,18C521,END","13C1218,14X1198,18X841,19C629,15X750,15C503,13C700,22X600,18C836,21C1528,20C573,16X769,21X848,21C212,14C685,20C796,20C462,19C629,19C457,17C696,13C607,22C653,17C747,16C551,17C498,15C549,22C626,19C566,14C644,21C598,18C524,22C578,13C753,18C1635,14X732,16C244,20X165,17C63,16C70,15C63,END","8C552,22X189,10C125,15X160,6C77,17C94,11X162,13X160,5C67,18X624,4C82,20C32,1X218,19X528,7C251,21C781,3C220,16X422,9X899,14X288,END","11C1177,17C1371,8C826,13C736,4X1112,22C192,10X1090,17C278,12X544,18X734,3C261,19C551,12X867,15C309,2X751,14X840,3X733,20C255,5C257,22C215,7X787,18X725,7X764,19X1135,1C1337,15C840,6C1185,16C684,11C1006,20C802,9X1983,21C1276,10C1027,21C644,2C666,14C726,6X1037,16X817,5X731,13X959,END",,,,,,,,Male,43,0,4.0,2,"40,000 - 49,999",sales manager ,Liberal,Republican,1.0,,2,,2,,20075156,59,R_1Q4sRXimzRGTvNA,,0
